trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,ndcg_50,precision_50,recall_50,f1_50,ndcg_100,precision_100,recall_100,f1_100,ndcg,precision,recall,f1,training_time
10,2025-07-29 01:23:52,4096,0.026323863119436356,10,10,20,32,32,0.01,0.005,0.01,0.005,0.0006192357393404727,0.0008215248036296557,0.09198217908141118,0.07841629971433497,logistic_regression,0.2499997538421832,0.4999990108119259,0.5025671879393827,0.484853082201545,0.33180722891566267,0.5988204119665966,0.42700846780008783,0.6920899456931933,0.2775549255846917,1.0,0.43450957767262277,0.484853082201545,0.33180722891566267,0.5988204119665966,0.42700846780008783,593.8420021533966
11,2025-07-29 01:32:51,4096,0.03262463799229653,10,10,10,16,32,0.01,0.01,0.01,0.005,0.00010152007708150134,0.0004783240105109286,0.04951745338047028,0.0940779018778798,logistic_regression,0.25730413741760244,0.4840564503183631,0.804536906710047,0.8077301429973452,0.47309709425939056,0.8619946291247693,0.6109050744055684,0.8818440012116384,0.2775549255846917,1.0,0.43450957767262277,0.8077301429973452,0.47309709425939056,0.8619946291247693,0.6109050744055684,539.0877890586853
12,2025-07-29 01:41:54,4096,0.03296637933760253,6,0.5,10,16,32,0.01,0.01,0.01,0.005,0.0004935038226409903,0.00010440673719067327,0.02421319849981053,0.09937767850878634,logistic_regression,0.24781215095898446,0.49740409493409704,0.7968839188368111,0.8031814227927899,0.47108433734939764,0.8581680197847258,0.6082660087304114,0.8786317600301603,0.2775549255846917,1.0,0.43450957767262277,0.8031814227927899,0.47108433734939764,0.8581680197847258,0.6082660087304114,543.3840479850769
13,2025-07-29 01:51:26,4096,0.0339053235671716,6,0.5,10,16,32,0.01,0.01,0.01,0.005,0.0006595830479581679,0.0001133095753054955,0.06744396270959954,0.09989870977540459,logistic_regression,0.24999998836321474,0.49999998804883944,0.5270853969537067,0.5093899370750286,0.3462508858965273,0.6235289183515039,0.445250436058975,0.703001071808858,0.2775549255846917,1.0,0.43450957767262277,0.5093899370750286,0.3462508858965273,0.6235289183515039,0.445250436058975,571.5428631305695
14,2025-07-29 01:59:27,4096,0.03183731044656904,10,0.5,15,16,32,0.01,0.01,0.01,0.005,0.0016022251682943276,0.0004491134955558232,0.03281256284521334,0.09963277732626623,logistic_regression,0.24999963679259873,0.4999996234091686,0.5024661746205482,0.483802330578842,0.32673281360737066,0.5870720438571188,0.4198176429306628,0.6964302193923919,0.2775549255846917,1.0,0.43450957767262277,0.483802330578842,0.32673281360737066,0.5870720438571188,0.4198176429306628,481.3108730316162
15,2025-07-29 02:09:51,4096,0.03774508984627786,6,0.1,10,16,32,0.01,0.01,0.01,0.005,0.00031699264197219046,0.00011019262317134888,0.03691065039159078,0.07451933840600974,logistic_regression,0.2460582576373114,0.49414514231297874,0.8014500029538884,0.8057019932025767,0.4720765414599575,0.8599767385673331,0.6095474566461233,0.8806099063422398,0.2775549255846917,1.0,0.43450957767262277,0.8057019932025767,0.4720765414599575,0.8599767385673331,0.6095474566461233,623.9255139827728
16,2025-07-29 02:24:57,4096,0.0391601741056114,1,0.1,20,32,16,0.01,0.01,0.01,0.005,0.01803570653123673,0.004007802794008869,0.00395782085347012,0.06871511207540573,mlp,0.25000000005383216,0.49999999922995886,0.5064727793413285,0.503466490695943,0.32673281360737066,0.5893147403984199,0.42038966730204447,0.7147129308943536,0.2775549255846917,1.0,0.43450957767262277,0.503466490695943,0.32673281360737066,0.5893147403984199,0.42038966730204447,905.3525440692902
17,2025-07-29 02:37:22,4096,0.010599153166957628,8,0.1,15,16,64,0.01,0.01,0.01,0.005,0.004074299432871794,0.09457693269755388,0.0011446957941639321,0.06179394388557751,logistic_regression,0.2499891581219316,0.4999875312755885,0.5269394819110739,0.5085170597952486,0.34304748405386254,0.6164910959057601,0.4408071208579832,0.7059550263255933,0.2775549255846917,1.0,0.43450957767262277,0.5085170597952486,0.34304748405386254,0.6164910959057601,0.4408071208579832,745.5067791938782
18,2025-07-29 02:50:13,4096,0.025295138618703916,12,5,10,16,32,0.01,0.01,0.01,0.005,0.001625062618974039,0.0004976886671078079,0.0005316251956614216,0.07912974070707296,logistic_regression,0.24999979422360788,0.49999979223445296,0.5203947444732602,0.5102595329551054,0.3358327427356485,0.6033158550931509,0.4314827681588489,0.7138498713263898,0.2775549255846917,1.0,0.43450957767262277,0.5102595329551054,0.3358327427356485,0.6033158550931509,0.4314827681588489,770.6459279060364
19,2025-07-29 03:05:27,4096,0.03790985321064176,4,0.1,10,32,32,0.01,0.01,0.01,0.005,0.0003568561881586125,0.0003790421059682277,0.04652153980773759,0.08114091422397766,mlp,0.2461511595936685,0.49184180004996564,0.8000275872045255,0.808010583860097,0.47304039688164423,0.8631113526910608,0.6111379743514916,0.8814367148297275,0.2775549255846917,1.0,0.43450957767262277,0.808010583860097,0.47304039688164423,0.8631113526910608,0.6111379743514916,914.6096041202545
20,2025-07-29 03:20:03,4096,0.04414291582369295,4,0.1,10,32,64,0.01,0.01,0.01,0.005,0.00010223134191353125,0.0016036478996490334,0.005653397318797906,0.004655194351470521,mlp,0.26830491028358633,0.4607224795135939,0.7717011977882214,0.7660632953794585,0.45678242381289863,0.8313516277661266,0.5896075972936315,0.8553629700662253,0.2775549255846917,1.0,0.43450957767262277,0.7660632953794585,0.45678242381289863,0.8313516277661266,0.5896075972936315,875.0832920074463
21,2025-07-29 03:35:20,4096,0.03752391750649477,10,10,10,32,32,0.01,0.01,0.01,0.005,0.0003066870643355706,0.00877236817017898,0.05153317875998144,0.08758912500908754,mlp,0.2499955611159802,0.4999955492436666,0.6854340288955634,0.6706538544932148,0.42394046775336647,0.7669668928258642,0.546051379072505,0.7912793798122308,0.2775549255846917,1.0,0.43450957767262277,0.6706538544932148,0.42394046775336647,0.7669668928258642,0.546051379072505,917.6676342487335
22,2025-07-29 03:47:58,4096,0.029562494718162493,4,10,10,16,32,0.01,0.01,0.01,0.005,0.00036981552292909365,0.000504316044214702,0.051729956329113466,0.08695154401882228,mlp,0.24607247462241502,0.4929035723170701,0.8022124591129685,0.8060287002425655,0.4720481927710843,0.8603050794496403,0.6096062755324688,0.880906599934603,0.2775549255846917,1.0,0.43450957767262277,0.8060287002425655,0.4720481927710843,0.8603050794496403,0.6096062755324688,758.194501876831
23,2025-07-29 04:05:09,4096,0.029654976615247183,4,10,10,32,32,0.01,0.01,0.01,0.005,0.00010341232879993275,0.0005104641446311702,0.016138339078835977,0.08830010905183878,mlp,0.2524160511276156,0.4408148624121964,0.7904253139012083,0.783162939671082,0.46320340184266473,0.8458281041278075,0.5985959137258072,0.8654909148421246,0.2775549255846917,1.0,0.43450957767262277,0.783162939671082,0.46320340184266473,0.8458281041278075,0.5985959137258072,1030.4636056423187
24,2025-07-29 07:31:29,4096,0.028732026352522606,4,10,10,16,32,0.01,0.01,0.01,0.005,0.0003793312621997723,0.0002769670960565662,0.08252291434122777,0.08980564852179403,mlp,0.24973178881438862,0.4997278519640424,0.8029597170373124,0.8059905305184181,0.4712402551381999,0.8597558448710224,0.6087945166642816,0.8813929548148419,0.2775549255846917,1.0,0.43450957767262277,0.8059905305184181,0.4712402551381999,0.8597558448710224,0.6087945166642816,12380.069549798965
25,2025-07-29 12:15:26,4096,0.02192209767650674,10,5,15,16,32,0.01,0.01,0.01,0.005,0.0009127310121062254,0.0021517154565513707,0.016839696323566553,0.05598819517183238,mlp,0.2499970584825335,0.4999961978501297,0.5095756614470168,0.4920175072124841,0.3335931963146705,0.5993872083262494,0.4286295696266782,0.6982063284870591,0.2775549255846917,1.0,0.43450957767262277,0.4920175072124841,0.3335931963146705,0.5993872083262494,0.4286295696266782,17037.321756124496
26,2025-07-29 12:31:02,4096,0.03389285768650145,4,0.05,20,32,16,0.01,0.01,0.01,0.005,0.00024356791160296966,0.000687918481576366,0.04405319317919037,0.0715496892731567,mlp,0.25150101650862994,0.4864522574625583,0.8041877808538145,0.8087522244061616,0.47343727852586814,0.8629463240121787,0.6114276744765678,0.8822608631178422,0.2775549255846917,1.0,0.43450957767262277,0.8087522244061616,0.47343727852586814,0.8629463240121787,0.6114276744765678,935.5131011009216
27,2025-07-29 12:46:02,4096,0.04033070209875928,4,0.05,20,32,16,0.005,0.01,0.01,0.01,0.021123969983343243,0.008484192201459429,0.0003362644615542239,0.07074188858714403,mlp,0.24999950856485495,0.49999935804194895,0.4991661650570582,0.48678381821507344,0.32678951098511694,0.5883390303711921,0.4201880180537421,0.69895583340792,0.2775549255846917,1.0,0.43450957767262277,0.48678381821507344,0.32678951098511694,0.5883390303711921,0.4201880180537421,900.3115689754486
28,2025-07-29 12:59:44,4096,0.03540725152298247,4,0.05,20,32,16,0.005,0.005,0.005,0.01,0.0013399798518883752,0.0012641760188472659,0.00725247741373677,0.08124197933734842,mlp,0.24993056875125386,0.49982620660664223,0.5599988662702915,0.5449836460169268,0.35954642097802975,0.6460770825205763,0.4619913951653625,0.7266669577002979,0.2775549255846917,1.0,0.43450957767262277,0.5449836460169268,0.35954642097802975,0.6460770825205763,0.4619913951653625,821.4925429821014
29,2025-07-29 13:13:22,4096,0.028663854530997998,1,0.05,20,32,16,0.005,0.005,0.005,0.01,0.0025864862880373126,0.003850039118013709,0.0021345400127683184,0.058697849472745714,mlp,0.25530375757647783,0.4849655130087485,0.8031651830263465,0.8088276083868704,0.4732246633593197,0.8625759232421424,0.6111573912939176,0.8825351996120542,0.2775549255846917,1.0,0.43450957767262277,0.8088276083868704,0.4732246633593197,0.8625759232421424,0.6111573912939176,817.9939198493958
30,2025-07-29 13:25:53,4096,0.046078494075017074,4,1,20,32,16,0.01,0.01,0.01,0.005,0.003995981847172925,0.0006684079536389322,0.011472631425486724,0.06835090649490777,mlp,0.25000134260750995,0.5000012993016564,0.49925385549584655,0.48134449442091776,0.32425230333097094,0.5843162828229789,0.4170646079261174,0.6957561341194403,0.2775549255846917,1.0,0.43450957767262277,0.48134449442091776,0.32425230333097094,0.5843162828229789,0.4170646079261174,751.0656707286835
31,2025-07-29 13:46:48,4096,0.028782854883675654,4,0.05,20,32,16,0.005,0.005,0.005,0.01,0.00017276962244684683,0.0031993479643571614,0.002338503551773946,0.062378735889010224,mlp,0.25171795634857796,0.4382523905243831,0.7891459944299182,0.781049571619701,0.4630049610205528,0.8456714112597274,0.5983909652533214,0.8635114939543632,0.2775549255846917,1.0,0.43450957767262277,0.781049571619701,0.4630049610205528,0.8456714112597274,0.5983909652533214,1255.4488089084625
32,2025-07-29 13:59:44,4096,0.034989570405979595,1,100,20,32,16,0.01,0.005,0.005,0.01,0.0004487654590746989,0.004926441722044014,0.04917112606875026,0.05552288040656382,mlp,0.2570168417953469,0.4679117568067729,0.8150428359673768,0.8168715489435676,0.4777746279234586,0.8749894960361806,0.618064559077697,0.8849780478014233,0.2775549255846917,1.0,0.43450957767262277,0.8168715489435676,0.4777746279234586,0.8749894960361806,0.618064559077697,776.0280077457428
33,2025-07-29 14:11:41,4096,0.04128983668371196,1,100,20,32,16,0.01,0.005,0.005,0.01,0.005135040434530824,0.006465698446710557,0.05354168577156043,0.041521923466769264,mlp,0.2500023792257935,0.5000020626872549,0.5035736881807957,0.48653316977026134,0.3287739192062367,0.5908474622826567,0.4224678541362824,0.6971990906429706,0.2775549255846917,1.0,0.43450957767262277,0.48653316977026134,0.3287739192062367,0.5908474622826567,0.4224678541362824,716.9628720283508
34,2025-07-29 14:22:17,4096,0.011036966675739158,1,100,20,32,16,0.01,0.005,0.005,0.01,0.010580958019408724,0.013669062110698588,0.02342203512974007,0.04847175965985825,mlp,0.24999986503471658,0.49999876653075337,0.5031227603740405,0.4857489648099089,0.3308858965272856,0.5952970618624627,0.42534879362686456,0.6943918806325706,0.2775549255846917,1.0,0.43450957767262277,0.4857489648099089,0.3308858965272856,0.5952970618624627,0.42534879362686456,635.7775909900665
35,2025-07-29 14:38:37,4096,0.035536378152428695,1,100,5,64,16,0.01,0.005,0.005,0.01,0.05190873493647822,0.04953015490256855,0.0372487251126032,0.017894819498599453,mlp,0.24999890235541963,0.4999984397203076,0.4995198811919401,0.48294211139738275,0.32683203401842664,0.5882665908617345,0.4202046887822713,0.6954034769606431,0.2775549255846917,1.0,0.43450957767262277,0.48294211139738275,0.32683203401842664,0.5882665908617345,0.4202046887822713,979.5131051540375
36,2025-07-29 14:48:36,4096,0.014419734794693329,1,100,20,32,16,0.005,0.005,0.005,0.01,0.08186391025156312,0.01583526642094431,0.00011531092216843241,0.05083046713777804,mlp,0.2500005430567031,0.5000002130464107,0.5017911583070097,0.4786485067373373,0.3272714386959603,0.5894088943256259,0.42085924586232065,0.6908760415678942,0.2775549255846917,1.0,0.43450957767262277,0.4786485067373373,0.3272714386959603,0.5894088943256259,0.42085924586232065,598.8040058612823
