trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,ndcg_5,precision_5,recall_5,f1_5,ndcg_10,precision_10,recall_10,f1_10,ndcg,precision,recall,f1,training_time
0,2025-07-26 23:30:34,2048,0.061648785713594396,8,1.084207852088825,15,16,64,0.023261312216091005,0.005409554522212408,0.014291880315937701,0.007158489085304729,0.0006432676807464506,2.2783451004526955e-06,1.479335563587076,3.733937639376662,mlp,0.25,0.5,0.5,0.5956214700424509,0.23418518518518522,0.36834869194591413,0.2863301464369141,0.7373991304530478,0.23183333333333336,0.7262962962962963,0.35147580484096463,0.5956214700424509,0.23418518518518522,0.36834869194591413,0.2863301464369141,143.4480619430542
1,2025-07-26 23:32:04,8192,0.04378059783603931,2,2.7405443586664124,15,64,32,0.01446619384283939,0.022982888777672277,0.028095427353673732,0.016999059604183193,0.000728586317079987,1.7147225688175787e-07,1.4264771861469132,8.315320853261152,mlp,0.2500000018669566,0.5000000018665084,0.5157447476200775,0.6063208495415908,0.23725925925925928,0.37361280129335683,0.29021820511630225,0.7452450439119185,0.23183333333333336,0.7262962962962963,0.35147580484096463,0.6063208495415908,0.23725925925925928,0.37361280129335683,0.29021820511630225,89.95788764953613
2,2025-07-26 23:33:30,8192,0.01316720158579496,6,3.5078066799175958e-06,20,64,8,0.009370709466894077,0.04278561682156482,0.012947934719565695,0.0072384974988959246,0.0005628857119791835,1.426623122840215e-05,3.582189664456437,2.9544094190434023,mlp,0.24999985790736318,0.49999985482902437,0.5053705489470812,0.6017687634600262,0.23681481481481484,0.3784670047031158,0.2913350948757364,0.7397561536929796,0.23183333333333336,0.7262962962962963,0.35147580484096463,0.6017687634600262,0.23681481481481484,0.3784670047031158,0.2913350948757364,86.83776021003723
3,2025-07-26 23:35:58,4096,0.18104219147243056,6,0.04846512872658073,15,16,8,0.007977070799856193,0.005615798436968634,0.011775122930468607,0.005164909421846765,6.261153050065904e-07,9.880816759241789,2.547909188187211,8.149030571119685,logistic_regression,0.24410752105835348,0.4740339417187249,0.6747924500435671,0.6737731693910788,0.27055555555555555,0.43271531452087003,0.332940086953604,0.7866680225058725,0.23183333333333336,0.7262962962962963,0.35147580484096463,0.6737731693910788,0.27055555555555555,0.43271531452087003,0.332940086953604,147.29721570014954
4,2025-07-26 23:38:10,2048,0.18593196075887233,2,0.008511869630299963,5,64,4,0.04394611220069298,0.01811811614666282,0.03390795824467347,0.010937043016398256,4.460080876178568e-06,0.0012419797012739894,8.43923135268856,8.791703278925912,mlp,0.2554100304207694,0.45357579614712046,0.6801377910493963,0.6688752497022155,0.2658518518518519,0.42798368606701936,0.32797471240685516,0.7846248110515579,0.23183333333333336,0.7262962962962963,0.35147580484096463,0.6688752497022155,0.2658518518518519,0.42798368606701936,0.32797471240685516,129.53446078300476
5,2025-07-26 23:42:03,2048,0.12415307751452037,8,1.1116242897778606e-06,20,32,16,0.006842235082224998,0.006099748201848168,0.009301617029496105,0.007393171688834875,7.142275947742703e-05,3.0268617343010873,0.0049000349160030765,2.2932282312708394,logistic_regression,0.24805589598338934,0.49548211229261424,0.6928267220945977,0.6474542572857597,0.2576666666666667,0.4063588330393885,0.3153647744737686,0.7712584635949895,0.23183333333333336,0.7262962962962963,0.35147580484096463,0.6474542572857597,0.2576666666666667,0.4063588330393885,0.3153647744737686,233.04698586463928
6,2025-07-26 23:43:59,4096,0.09894641775261628,2,0.0016359824489400147,10,256,32,0.009832429474097838,0.01625893375373155,0.006712351800045582,0.007847431479027315,0.003807783093344131,0.9974384127075137,0.5482491231265149,0.6781011185243019,mlp,0.24999999999116967,0.4999999999911697,0.5001235864067557,0.5958156359044997,0.23425925925925925,0.36853387713109936,0.2864414601189711,0.737525869252748,0.23183333333333336,0.7262962962962963,0.35147580484096463,0.5958156359044997,0.23425925925925925,0.36853387713109936,0.2864414601189711,115.55666756629944
7,2025-07-26 23:48:04,2048,0.11574574058599466,4,0.0012070834557298738,15,32,64,0.012744797511640246,0.014375290384364353,0.04159163250024956,0.015303400229345837,1.5227347971514084e-06,1.377792049035353e-07,1.38450015627134e-06,5.963241974674495,mlp,0.36416689278140524,0.4698475387401916,0.5990714552153671,0.6115542972057828,0.2412222222222222,0.3815108759553204,0.29556450931937234,0.7479012564196164,0.23183333333333336,0.7262962962962963,0.35147580484096463,0.6115542972057828,0.2412222222222222,0.3815108759553204,0.29556450931937234,244.9327666759491
8,2025-07-26 23:52:40,2048,0.08328617755215593,6,2.75278149635959e-05,5,4,16,0.00901046102388486,0.006245916849958762,0.006387007613587683,0.005356374402863798,0.0001424431229730708,0.0065696632067511924,1.0975881758883388e-06,4.04451092003927,mlp,0.24844967266001491,0.4974881266043694,0.6791654881826555,0.6282211665416291,0.2492962962962963,0.3851956937095826,0.3026921105503373,0.7593526420364068,0.23183333333333336,0.7262962962962963,0.35147580484096463,0.6282211665416291,0.2492962962962963,0.3851956937095826,0.3026921105503373,276.104380607605
9,2025-07-26 23:56:53,2048,0.1787490365682447,2,0.00018129048319632965,5,16,32,0.0071199427780004,0.028607838615428163,0.012765422620371862,0.03233961718059644,9.506367815969624e-06,5.8147868706813785e-06,0.08802930645634766,0.9016215682075649,logistic_regression,0.2845275027733159,0.43613629586386204,0.6735168305849129,0.658868851419224,0.2628518518518519,0.4263353174603175,0.325203464876266,0.7763253313024095,0.23183333333333336,0.7262962962962963,0.35147580484096463,0.658868851419224,0.2628518518518519,0.4263353174603175,0.325203464876266,253.2552514076233
10,2025-07-26 23:59:10,4096,0.15626222060500855,6,0.06037551562466952,10,8,8,0.005260424228678666,0.009956865886400242,0.023740859045098563,0.04968621604147672,1.2001490515027486,0.055450920245640675,0.00014122074418893019,6.440201703503606,logistic_regression,0.25000010527160677,0.5000001048837547,0.49946405226741897,0.5950062536033476,0.23374074074074075,0.36795061728395057,0.2858776304260433,0.7370849626105488,0.23183333333333336,0.7262962962962963,0.35147580484096463,0.5950062536033476,0.23374074074074075,0.36795061728395057,0.2858776304260433,137.1440463066101
11,2025-07-27 00:02:46,4096,0.13961116493030953,8,0.09352297328351976,20,16,256,0.021433194149954933,0.008199967318598855,0.009045528738652065,0.005060610880671751,1.1539867562507778e-07,3.726660192445261,0.0037241712331466705,9.870623117941474,logistic_regression,0.30355061688998347,0.4864022801653816,0.5401252125168288,0.6209295660669306,0.24185185185185185,0.37900947971781307,0.2952805719351669,0.7558362960812148,0.23183333333333336,0.7262962962962963,0.35147580484096463,0.6209295660669306,0.24185185185185185,0.37900947971781307,0.2952805719351669,215.87870240211487
12,2025-07-27 00:06:37,4096,0.19828305322169842,6,0.12196730853651798,15,32,8,0.005244428052330003,0.008726118042253556,0.018643181739951994,0.01023536768657654,1.3826013590273773e-07,9.489408348513662,0.00975120760435209,7.503884148117954,logistic_regression,0.2412200245160451,0.46039774385583304,0.6818127138873018,0.6781152458309236,0.272037037037037,0.4374819223985891,0.33547034746258086,0.7892373486073845,0.23183333333333336,0.7262962962962963,0.35147580484096463,0.6781152458309236,0.272037037037037,0.4374819223985891,0.33547034746258086,230.15291690826416
13,2025-07-27 00:09:05,4096,0.13893753025676625,4,9.509759069175347,15,32,16,0.0050362149242441185,0.010550165430869993,0.018772322815294826,0.013894863483385821,0.04485512434525661,0.39261727590834966,0.001794990420543044,6.776590032858686,logistic_regression,0.2500002745962172,0.5000002727839682,0.4996028273710637,0.5908119088872072,0.2325555555555556,0.3655452674897119,0.28426505861985796,0.733946234256345,0.23183333333333336,0.7262962962962963,0.35147580484096463,0.5908119088872072,0.2325555555555556,0.3655452674897119,0.28426505861985796,147.9709358215332
