trial_number,pareto_rank,auc,mse,ndcg_5,ndcg_10,G,abc_model_name,batch_size,beta,dis_lamb,dis_lr,embedding_k,embedding_k1,gamma,impu_lr,lamb_imp,lamb_pred,lamb_prop,num_bins,pred_lr,prop_lr
51,1,0.7163961577563167,0.23635172149789851,0.6955266051183118,0.8001274881702857,4,mlp,4096,5,0.012473901691973321,0.01,32,64,0.025201592042024667,0.01,0.04186232026213231,0.00010371623066591883,0.007338565959284677,20,0.005,0.005
73,2,0.716621468474642,0.23750167227089147,0.6962632100469508,0.8006971099677214,4,logistic_regression,4096,5,0.008615927736974316,0.01,64,64,0.041656910721200854,0.01,0.044308132163111566,0.0001250458138197331,0.009487836196902083,20,0.005,0.005
80,3,0.7168139552395197,0.2375581771362988,0.6948324739479745,0.8002483589793824,4,logistic_regression,4096,100,0.011919896274539925,0.01,64,64,0.04818940979358159,0.01,0.027296034412063318,0.00012134279475786205,0.004374349575836426,10,0.005,0.005
82,4,0.7168546956091846,0.23740755680015077,0.693716847111182,0.7996820673829902,4,logistic_regression,4096,100,0.013071008175036095,0.01,64,64,0.04863819469325701,0.01,0.028724205114519143,0.00012055265726761058,0.005601192595126563,10,0.005,0.005
