num_bins,MSE,MAE,AUC,ECE,BMSE,DR_Bias,DR_Variance,NDCG@5,Precision@5,Recall@5,F1@5,Gini_Item,Gini_User,Total_Parameters,Init_Time,Prop_Training_Time,Main_Training_Time,Total_Time
1.0,0.23740972962582108,0.4676624909682238,0.7168659780909686,0.9516904950141907,111.2983169555664,0.2203134298324585,1.8649830963113345e-05,0.6948561711045608,0.27944444444444444,0.45543011463844796,0.3463650055520706,0.5521888667992154,0.27944444444444444,3149314,0.22276759147644043,80.88450646400452,74.68801546096802,155.79528951644897
3.0,0.2376303108101937,0.4677566441843174,0.7159660745189264,0.9518381357192993,112.04737091064453,0.22025534510612488,1.878180046333e-05,0.6933361138583128,0.2775925925925926,0.45142475014697236,0.34378377414960365,0.55416452943939,0.2775925925925926,3149314,0.029615402221679688,76.4372386932373,71.20571875572205,147.67257285118103
5.0,0.23766107970545655,0.46783728230217064,0.7156208323094322,0.9518091678619385,111.89089965820312,0.22025057673454285,1.8761662431643344e-05,0.6925303413443471,0.2777777777777778,0.4516774691358025,0.3439990710319702,0.5540738271605044,0.2777777777777778,3149314,0.0310823917388916,78.73770999908447,75.68965339660645,154.4584457874298
8.0,0.23746702715087506,0.46771246327634436,0.7163756994722281,0.9510842561721802,108.55139923095703,0.22101646661758423,1.819481076381635e-05,0.6942320673278716,0.27825925925925926,0.45209384185773077,0.3444889803537754,0.5551196937653848,0.27825925925925926,3149314,0.028386354446411133,78.9852786064148,76.55333161354065,155.56699657440186
10.0,0.23738543623662633,0.467637077448217,0.7169805725965994,0.9511422514915466,108.82784271240234,0.22098292410373688,1.8231816284242086e-05,0.6935708279702285,0.27870370370370373,0.45397325102880653,0.34537465830444114,0.5523098068167942,0.27870370370370373,3149314,0.028639554977416992,78.55600833892822,75.55589580535889,154.14054369926453
12.0,0.23738502633223166,0.4676340897377727,0.7169809018856224,0.9511449337005615,108.83906555175781,0.22097942233085632,1.823371167120058e-05,0.6935350265414884,0.27870370370370373,0.4538343621399176,0.34533445699026505,0.5524202042574242,0.27870370370370373,3149314,0.028895139694213867,95.62211036682129,79.40918707847595,175.06019258499146
15.0,0.23738519205053055,0.4676335546524475,0.7169807545721123,0.9511463046073914,108.84541320800781,0.2209780067205429,1.8234770323033445e-05,0.6935987945661966,0.27874074074074073,0.45401954732510286,0.34541649429780025,0.5523101642700473,0.27874074074074073,3149314,0.029009103775024414,98.72559666633606,78.60926795005798,177.36387372016907
18.0,0.2373852472387297,0.46763066314371016,0.7169807141331094,0.9511383771896362,108.81023406982422,0.2209872603416443,1.8228874978376552e-05,0.6936066659502355,0.27874074074074073,0.45401954732510286,0.34541649429780025,0.5523101642700473,0.27874074074074073,3149314,0.031195878982543945,74.79138541221619,75.72831535339355,150.55089664459229
20.0,0.23738506114190244,0.4676348063333059,0.7169805783735999,0.9511252641677856,108.75192260742188,0.22100213170051575,1.8219123376184143e-05,0.6934991885614813,0.2786666666666667,0.45378806584362136,0.3452926223805363,0.5524198613818604,0.2786666666666667,3149314,0.033540964126586914,75.68131756782532,75.09590268135071,150.8107612133026
25.0,0.23738562415444317,0.46763109493651644,0.7169802144225745,0.9511317014694214,108.78086853027344,0.22099551558494568,1.822393824113533e-05,0.6935786993542674,0.27870370370370373,0.45397325102880653,0.34537465830444114,0.5523098068167942,0.27870370370370373,3149314,0.037111520767211914,75.3924126625061,75.012699842453,150.44222402572632
30.0,0.23738545010301487,0.4676315220869836,0.7169801807234056,0.9511454105377197,108.84188842773438,0.2209792584180832,1.823417369450908e-05,0.6936066659502355,0.27874074074074073,0.45401954732510286,0.34541649429780025,0.5523101642700473,0.27874074074074073,3149314,0.02945232391357422,77.22189021110535,74.78789591789246,152.03923845291138
35.0,0.2373849204657121,0.4676352792867326,0.7169801489499034,0.9511306881904602,108.77537536621094,0.22099561989307404,1.8223070583189838e-05,0.6936066659502355,0.27874074074074073,0.45401954732510286,0.34541649429780025,0.5523101642700473,0.27874074074074073,3149314,0.03641319274902344,79.57161617279053,74.15638160705566,153.76441097259521
40.0,0.23738469874995463,0.46763376210339547,0.7169805706709327,0.9511346220970154,108.79300689697266,0.22099073231220245,1.8226024621981196e-05,0.693623040816858,0.27874074074074073,0.45401954732510286,0.34541649429780025,0.5523101642700473,0.27874074074074073,3149314,0.029906272888183594,75.67691969871521,77.94849824905396,153.65532422065735
45.0,0.2373847891638588,0.4676329769972578,0.7169804772760928,0.9511274099349976,108.76095581054688,0.22099924087524414,1.8220653146272525e-05,0.6935987945661966,0.27874074074074073,0.45401954732510286,0.34541649429780025,0.5523101642700473,0.27874074074074073,3149314,0.029160261154174805,98.54688310623169,81.52116203308105,180.09720540046692
