beta,MSE,MAE,AUC,ECE,BMSE,DR_Bias,DR_Variance,NDCG@5,Precision@5,Recall@5,F1@5,Gini_Item,Gini_User,Total_Parameters,Init_Time,Prop_Training_Time,Main_Training_Time,Total_Time
0.01,0.2209385566079767,0.4592148525656426,0.7255501836974417,0.9134636521339417,34.21445846557617,0.10389227420091629,6.147221574792638e-05,0.6685484857993491,0.5358620689655171,0.45976845472535127,0.49490743711007634,0.32068965517241454,0.5358620689655171,113410,0.19260287284851074,10.33400845527649,4.237428188323975,14.764039516448975
0.1,0.22090170951247579,0.45935734875725004,0.7256878311174418,0.9134863018989563,37.028873443603516,0.10672644525766373,6.925224442966282e-05,0.6718022031284706,0.5420689655172414,0.4688207530017875,0.5027911075502927,0.31438975168904193,0.5420689655172414,113410,0.0032372474670410156,15.980573654174805,4.695014238357544,20.67882513999939
1.0,0.2209880777970987,0.45927608673107523,0.7251614070659524,0.9136027693748474,34.28641891479492,0.10422389954328537,6.154509173939005e-05,0.6680543084648726,0.5344827586206896,0.45961225077604384,0.4942280594280817,0.31848275862069053,0.5344827586206896,113410,0.0031280517578125,16.024776697158813,4.375948667526245,20.40385341644287
10.0,0.2168943678057264,0.4512413152212534,0.7287548360255777,0.9213731288909912,46.31060028076172,0.09642929583787918,8.753644215175882e-05,0.6800793758182494,0.5420689655172414,0.483318362671811,0.5110105765237067,0.31159954373958154,0.5420689655172414,113410,0.0032739639282226562,16.192412614822388,3.6567046642303467,19.852391242980957
100.0,0.21529151857580792,0.44568907859542506,0.7280520995484699,0.9394177198410034,81.62899780273438,0.09559305012226105,0.00015919706493150443,0.6693023690902311,0.5344827586206896,0.46339581395615875,0.4964072378806261,0.3259399332591776,0.5344827586206896,113410,0.003596067428588867,13.333917140960693,4.049622058868408,17.38713526725769
