model,ECE,BMSE,DR_Bias,DR_Variance,MSE,MAE,epochs,lr,batch_size,embedding_k,gamma,seed
MF_DR_BMSE,0.2109546959400177,1.2198535203933716,0.019953178241848946,4.4547865400090814e-05,0.06714142858982086,0.1922655701637268,150,0.01,128,8,0.1,2024
MF_DR_JL,0.20505903661251068,1.5057908296585083,0.011311089619994164,4.2823259718716145e-05,0.08049175888299942,0.20687636733055115,150,0.01,128,8,0.1,2024
MF_MRDR_JL,0.20195990800857544,1.3165254592895508,0.00640879338607192,3.481912426650524e-05,0.07809663563966751,0.20428681373596191,150,0.01,128,8,0.1,2024
MF_Minimax,0.1954803466796875,1.0954558849334717,2.638932414811279e-07,2.2431429897551425e-05,0.07229495048522949,0.19666510820388794,150,0.01,128,8,0.1,2024
MF_DR_BIAS,0.20585131645202637,1.673292636871338,0.0064061726443469524,3.815764648607001e-05,0.07701923698186874,0.20256459712982178,150,0.01,128,8,0.1,2024
MF_DR_DCE,0.20166799426078796,1.8127059936523438,0.0027817762456834316,3.002989433298353e-05,0.0739063024520874,0.19811463356018066,150,0.01,128,8,0.1,2024
