beta,MSE,MAE,AUC,ECE,BMSE,DR_Bias,DR_Variance,NDCG@5,Precision@5,Recall@5,F1@5,Gini_Item,Gini_User,Total_Parameters,Init_Time,Prop_Training_Time,Main_Training_Time,Total_Time
0.01,0.23750505091655555,0.46817339157960725,0.7168617522151749,0.9507086277008057,106.97696685791016,0.2215890735387802,1.7921442122315057e-05,0.6944752361257416,0.27944444444444444,0.4547744708994709,0.3461752257049692,0.5528376653658404,0.27944444444444444,3149314,0.22670817375183105,93.63263750076294,76.9063708782196,170.76571655273438
0.1,0.23735265755300183,0.46795919495651334,0.7170740579427634,0.9503172636032104,105.2212142944336,0.22188416123390198,1.7628904970479198e-05,0.6925160913098022,0.27799999999999997,0.4518841122868901,0.3442293950532723,0.5540758010875355,0.27799999999999997,3149314,0.04378628730773926,79.3349494934082,74.43912744522095,153.8178632259369
1.0,0.23738506114190244,0.4676348063333059,0.7169805783735999,0.9511252641677856,108.75192260742188,0.22100213170051575,1.8219123376184143e-05,0.6934991885614813,0.2786666666666667,0.45378806584362136,0.3452926223805363,0.5524198613818604,0.2786666666666667,3149314,0.03169870376586914,75.79038047790527,74.39821577072144,150.22029495239258
10.0,0.23741934404225568,0.46434659888552227,0.7156361076613273,0.9579640626907349,146.56654357910156,0.2111595869064331,2.463297096255701e-05,0.6941738121432179,0.2792962962962963,0.4541715902410346,0.3458868353082666,0.5533250575864396,0.2792962962962963,3149314,0.028973102569580078,76.3675320148468,70.80312156677246,147.19962668418884
100.0,0.23954830447389944,0.4547286604384399,0.7072632660480896,0.9776290655136108,510.36395263671875,0.15127134323120117,8.775453898124397e-05,0.6831326606276812,0.2751481481481482,0.4443140799529689,0.3398432649282199,0.5579275661446987,0.2751481481481482,3149314,0.031015634536743164,77.59616541862488,136.8081181049347,214.4352991580963
