trial_number,pareto_rank,auc,G,abc_model_name,batch_size,beta,dis_lamb,dis_lr,embedding_k,embedding_k1,gamma,grad_clip_norm,impu_lr,lamb_imp,lamb_pred,lamb_prop,num_bins,pred_lr,prop_lr
0,1,-inf,1,logistic_regression,128,0.01,0.005,0.01,64,32,0.049451073154463954,2.0,0.005,1e-06,0.0001,0.001,20,0.005,0.005
1,2,-inf,6,mlp,128,0.1,0.0001,0.01,32,16,0.03456632487382586,1.0,0.005,5e-06,5e-06,1e-05,10,0.005,0.01
