trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,grad_clip_norm,abc_model_name,mse,mae,auc,train_mse,train_mae,train_auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
10,2025-08-03 17:21:22,4096,0.013316974423720658,6,100,50,32,64,0.005,0.005,0.005,0.005,0.001,1e-05,0.0001,0.001,1.0,mlp,0.24999996895742033,0.4999999689535497,0.5541523510392368,0.2499993963309749,0.49999939629108836,0.8182325374816477,0.3159548517793439,0.060028348688873155,0.28597880768599077,0.0992282111460395,0.3159548517793439,0.060028348688873155,0.28597880768599077,0.0992282111460395,87.7418806552887
11,2025-08-03 17:22:48,4096,0.03880551114101265,8,100,50,32,64,0.005,0.005,0.01,0.005,0.001,0.0005,0.0001,0.001,1.0,mlp,0.25000000214967866,0.5000000021447147,0.5194628496095538,0.24999955737383445,0.499999557341641,0.7807201859696511,0.29774168884316615,0.05680368532955351,0.2426287539817151,0.09205553963878975,0.29774168884316615,0.05680368532955351,0.2426287539817151,0.09205553963878975,85.47912693023682
12,2025-08-03 17:24:04,4096,0.02794898310083562,2,0.5,15,32,16,0.005,0.005,0.005,0.01,0.005,0.0001,0.001,0.01,1.0,mlp,0.2500000285393035,0.5000000283304394,0.5179092070352525,0.24999962782540894,0.4999996277891099,0.6653078204493205,0.30075044235126996,0.0596739900779589,0.24674428974644558,0.09610533879741275,0.30075044235126996,0.0596739900779589,0.24674428974644558,0.09610533879741275,75.96356391906738
13,2025-08-03 17:26:03,4096,0.025925574453085444,1,100,50,32,32,0.005,0.005,0.01,0.005,0.001,1e-05,0.0001,0.001,1.0,mlp,0.11674453327932785,0.31534749244928645,0.7681833556600068,0.15670541008300878,0.35529641176155274,0.8106771350849188,0.4750326266133318,0.0765768958185684,0.3779843333888085,0.12735299475248815,0.4750326266133318,0.0765768958185684,0.3779843333888085,0.12735299475248815,119.6288583278656
14,2025-08-03 17:28:01,4096,0.0242863389610007,1,0.1,50,32,32,0.005,0.005,0.01,0.005,0.001,1e-05,0.0001,0.001,1.0,mlp,0.11682811399426904,0.31562563422969836,0.769774166768816,0.1567529352288724,0.35562872151821606,0.8109257255047955,0.47666531601864104,0.07714386959603119,0.38032098860435914,0.1282696680350312,0.47666531601864104,0.07714386959603119,0.38032098860435914,0.1282696680350312,117.93131232261658
15,2025-08-03 17:29:28,4096,0.022989184950172888,2,0.1,10,32,64,0.005,0.01,0.01,0.005,0.001,1e-05,0.0001,0.001,1.0,logistic_regression,0.16903213965108468,0.40438319774069076,0.7314160912601821,0.18717119345470434,0.421035300683819,0.7902483110348587,0.44787790189219373,0.06261516654854714,0.33250385374720004,0.10538487448582481,0.44787790189219373,0.06261516654854714,0.33250385374720004,0.10538487448582481,86.5160264968872
16,2025-08-03 17:32:05,4096,0.04000872255767134,8,100,30,32,64,0.005,0.005,0.01,0.005,1e-05,5e-05,0.001,0.0001,1.0,mlp,0.14626684838590817,0.3058777274621282,0.6626220469997726,0.008663492884126175,0.07587801169616759,0.9999999875866419,0.4532687293926233,0.07785258681785967,0.3554463124097017,0.12772898775093025,0.4532687293926233,0.07785258681785967,0.3554463124097017,0.12772898775093025,156.76460218429565
17,2025-08-03 17:33:30,4096,0.018553596152817153,6,0.1,50,64,32,0.005,0.005,0.01,0.005,0.01,0.0001,1e-05,0.01,0.5,mlp,0.39970871817112674,0.4992187607891388,0.5019770592469213,0.3997924382195277,0.4990382435378009,0.5014898320353054,0.28030663584765003,0.04914953933380581,0.2074767163073257,0.07947265569939102,0.28030663584765003,0.04914953933380581,0.2074767163073257,0.07947265569939102,84.80979800224304
18,2025-08-03 17:34:43,4096,0.031242511122595996,1,50,50,32,64,0.01,0.01,0.005,0.01,0.005,1e-05,5e-05,1e-05,1.0,logistic_regression,0.2499999346643005,0.499999934663053,0.606833067069694,0.24999954574734384,0.49999954572180033,0.8002265296815188,0.34586154053740065,0.0628632175761871,0.31301764338519134,0.10469964430208357,0.34586154053740065,0.0628632175761871,0.31301764338519134,0.10469964430208357,73.29556083679199
19,2025-08-03 17:36:27,4096,0.010280721631967287,1,10,50,32,64,0.005,0.005,0.01,0.005,0.001,1e-05,0.0001,0.001,1.0,mlp,0.11399161555864633,0.3113010375471929,0.7790232562578057,0.15698611848427735,0.3566528348413682,0.811693415491407,0.4920717350519606,0.08058114812189937,0.39698396612400183,0.13396884664312278,0.4920717350519606,0.08058114812189937,0.39698396612400183,0.13396884664312278,103.73027229309082
