trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,train_mse,train_mae,train_auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
1,2025-08-02 07:00:49,4096,0.0774699074296967,12,10,20,32,32,0.005,0.005,0.005,0.005,0.001,0.0005,0.0001,5e-05,logistic_regression,0.2500043545372358,0.4999970789278383,0.49490948730494266,0.24992574410745932,0.49991799533174863,0.6461715114540344,0.2817650187285285,0.05134656272147412,0.21016135834429692,0.08252953351376009,0.2817650187285285,0.05134656272147412,0.21016135834429692,0.08252953351376009,48.16212725639343
2,2025-08-02 07:01:32,4096,0.0783265953583245,1,0.5,15,32,16,0.01,0.005,0.01,0.01,0.01,0.01,5e-05,0.005,mlp,0.2500000021193958,0.5000000021190127,0.4998510107103362,0.2499999830124094,0.49999998301200516,0.5370932343777493,0.2809275600238478,0.049893692416725734,0.19450006018852734,0.07941550121173135,0.2809275600238478,0.049893692416725734,0.19450006018852734,0.07941550121173135,43.05081582069397
3,2025-08-02 07:02:34,4096,0.07656617623567517,1,0.1,15,32,16,0.005,0.01,0.01,0.005,5e-05,0.005,0.01,0.01,logistic_regression,0.13856791086656922,0.2662454209266371,0.6998504874192459,0.07620048469142623,0.18325598751345432,0.954287307387199,0.44382981368734536,0.07544294826364281,0.35826896762726274,0.12463972604327087,0.44382981368734536,0.07544294826364281,0.35826896762726274,0.12463972604327087,62.359976291656494
4,2025-08-02 07:03:29,4096,0.06009008764599748,2,5,20,16,16,0.01,0.01,0.005,0.01,0.0005,0.001,0.01,5e-05,mlp,0.15586427729921457,0.3816071298314168,0.7289160785302242,0.1692254452000983,0.38794921176395825,0.7993480916816851,0.466397188392677,0.07250177179305457,0.3319840312204831,0.11901248593231932,0.466397188392677,0.07250177179305457,0.3319840312204831,0.11901248593231932,54.42116975784302
5,2025-08-02 07:04:18,4096,0.06419735994316632,8,0.05,20,16,32,0.01,0.01,0.01,0.005,0.01,0.005,5e-05,0.01,mlp,0.25,0.5,0.5,0.2499999999973334,0.4999999999973334,0.5000134604311827,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,49.355998516082764
6,2025-08-02 07:05:04,4096,0.06785753610097706,8,0.1,10,16,32,0.005,0.005,0.01,0.01,0.005,5e-05,0.0005,0.001,logistic_regression,0.25000291173142764,0.5000027168252396,0.4970715599187532,0.24999305500143407,0.49999279687403936,0.6386888163348332,0.271488424566833,0.05074415308291992,0.20139570164526355,0.08106337909606956,0.271488424566833,0.05074415308291992,0.20139570164526355,0.08106337909606956,45.924124240875244
7,2025-08-02 07:05:50,4096,0.04577468814771482,10,0.5,15,32,32,0.005,0.005,0.005,0.005,0.01,0.01,0.0005,0.0001,mlp,0.24999501277737932,0.49998152844943294,0.49718574314966585,0.24999588056666702,0.4999828607380379,0.5614730845289994,0.27900593844045046,0.049929128277817154,0.200029508237312,0.07991161350029957,0.27900593844045046,0.049929128277817154,0.200029508237312,0.07991161350029957,45.3860068321228
8,2025-08-02 07:06:31,4096,0.058726667865631584,10,100,10,32,16,0.01,0.01,0.005,0.01,0.005,5e-05,0.005,0.01,mlp,0.25000001147016704,0.5000000057633482,0.5101970160446035,0.24999897903239693,0.499998963741647,0.5961329627560508,0.28612521124554124,0.05676824946846208,0.23189880000812912,0.09120880927815085,0.28612521124554124,0.05676824946846208,0.23189880000812912,0.09120880927815085,41.729419469833374
9,2025-08-02 07:07:11,4096,0.08026789968551569,4,0.05,10,32,16,0.01,0.01,0.01,0.01,0.001,0.005,0.005,0.0001,mlp,0.2499995789731167,0.4999995723083125,0.5097873011119083,0.2499929100784828,0.49999290065366314,0.6925076832102031,0.30805891713200734,0.060382707299787376,0.2686248970410099,0.09860135946682426,0.30805891713200734,0.060382707299787376,0.2686248970410099,0.09860135946682426,40.025298833847046
10,2025-08-02 07:08:04,4096,0.016785436213016397,2,5,5,16,16,0.01,0.01,0.005,0.01,0.0005,0.001,0.001,5e-05,logistic_regression,0.13684541827347135,0.3492525014994999,0.7538531352380919,0.15392188778076593,0.3582599162610617,0.8263974234084657,0.4862125944881889,0.08132530120481928,0.3630472957080416,0.13288366960594225,0.4862125944881889,0.08132530120481928,0.3630472957080416,0.13288366960594225,53.02840209007263
