trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,dropout_rate,grad_clip_norm,abc_model_name,mse,mae,auc,train_mse,train_mae,train_auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
14,2025-08-03 16:08:02,4096,0.029318434543335707,6,0.1,10,32,32,0.005,0.01,0.01,0.01,5e-05,0.0001,0.0001,0.01,0.3,1.0,logistic_regression,0.04442756805065284,0.1286933067141425,0.8445453745812711,0.1590957440276731,0.27498647264570925,0.8495253231834592,0.5947026467239918,0.11272147413182142,0.5358192782174815,0.18625919401404903,0.5947026467239918,0.11272147413182142,0.5358192782174815,0.18625919401404903,92.06493830680847
16,2025-08-03 16:10:34,4096,0.025233383026673675,6,0.1,10,32,32,0.005,0.01,0.01,0.01,1e-05,1e-05,0.0001,0.01,0.1,1.0,logistic_regression,0.04334884133605149,0.07438431673300386,0.8282988254839112,0.20410207682716588,0.2577753672301269,0.8332415979136132,0.5679542794356037,0.10910701630049609,0.5167491897972405,0.1801722559436311,0.5679542794356037,0.10910701630049609,0.5167491897972405,0.1801722559436311,102.04263353347778
17,2025-08-03 16:12:05,4096,0.03361602622618616,6,0.1,50,16,32,0.005,0.01,0.01,0.01,0.01,0.0005,0.005,0.01,0.3,1.0,logistic_regression,0.14397164049604474,0.37474404444070586,0.7405663958115701,0.20181273312247688,0.43281877810472297,0.7297180355094507,0.522222223923005,0.08486888731396174,0.42428480433503707,0.1414448322333297,0.522222223923005,0.08486888731396174,0.42428480433503707,0.1414448322333297,90.48708868026733
19,2025-08-03 16:14:25,4096,0.050771809322258214,4,1,50,32,32,0.005,0.01,0.01,0.01,5e-05,0.0001,0.0001,0.0005,0.2,1.0,logistic_regression,0.042260442221181645,0.11290796948196544,0.8405253452593774,0.16685697300012783,0.2677695280161168,0.851421107091008,0.5898093472899477,0.11141034727143868,0.5271984864218279,0.18394786715851846,0.5898093472899477,0.11141034727143868,0.5271984864218279,0.18394786715851846,93.89345693588257
20,2025-08-03 16:15:52,4096,0.03467128629584755,4,1,50,64,32,0.005,0.01,0.01,0.01,5e-05,0.01,0.0001,0.0005,0.2,1.0,logistic_regression,0.04330095843211173,0.11978849387085727,0.8390629038509443,0.16842541294553787,0.2738576120851615,0.8545478795641681,0.5816373910272072,0.1099574769666903,0.5229761466964313,0.18170985220121075,0.5816373910272072,0.1099574769666903,0.5229761466964313,0.18170985220121075,87.28464436531067
21,2025-08-03 16:17:25,4096,0.019546201233434125,6,0.1,50,32,32,0.005,0.01,0.01,0.01,5e-05,0.0001,0.0001,0.01,0.3,1.0,logistic_regression,0.04430974511874613,0.12782705573980016,0.8445551535738399,0.15927109453432947,0.27475883183827493,0.8494805894082611,0.5946910052337491,0.11272147413182142,0.5352582871178654,0.1862252705202949,0.5946910052337491,0.11272147413182142,0.5352582871178654,0.1862252705202949,93.24370694160461
22,2025-08-03 16:18:57,4096,0.01986773686738265,6,0.1,10,32,32,0.005,0.01,0.01,0.01,5e-05,0.0001,0.0001,0.01,0.1,1.0,logistic_regression,0.04303160651829629,0.09824004595376921,0.8251356415726552,0.20301597998264562,0.2767607451951194,0.835958665521289,0.5853030463562404,0.11063075832742737,0.5223624752945147,0.1825907567224933,0.5853030463562404,0.11063075832742737,0.5223624752945147,0.1825907567224933,91.61693453788757
24,2025-08-03 16:21:27,4096,0.03990260970564557,6,50,50,32,32,0.005,0.01,0.01,0.01,0.005,0.001,0.005,0.01,0.3,1.0,logistic_regression,0.10803774422465325,0.31721139224287737,0.7991026446732145,0.19094911490694824,0.4010952609066566,0.822061212471132,0.537762116542662,0.09585400425230334,0.4637357936203156,0.15886970385312665,0.557762116542662,0.09585400425230334,0.4637357936203156,0.15886970385312665,98.70648169517517
25,2025-08-03 16:22:48,4096,0.053695776696940895,6,0.01,50,32,32,0.005,0.01,0.01,0.01,1e-05,0.005,0.001,0.01,0.3,1.0,logistic_regression,0.06016126663722766,0.18795310863236872,0.8309898193292522,0.1428858231995571,0.2945254414177038,0.8472551097826801,0.5810582321788953,0.1054925584691708,0.5071953372373241,0.17465771445378997,0.5810582321788953,0.1054925584691708,0.5071953372373241,0.17465771445378997,81.07334923744202
27,2025-08-03 16:24:42,4096,0.03032609348939245,4,0.1,50,64,64,0.005,0.01,0.01,0.01,0.01,1e-05,0.0005,1e-05,0.2,1.0,logistic_regression,0.19662352097863373,0.44256162615440375,0.5627331332270683,0.2228508121428333,0.4687486419874956,0.7475447422706701,0.36472389691728146,0.06364280652019844,0.2923892789146794,0.10453256921391132,0.36472389691728146,0.06364280652019844,0.2923892789146794,0.10453256921391132,49.92802405357361
