trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
16,2025-08-01 20:54:51,4096,3.92700653048877,1,0.5,30,128,512,0.05,0.01,0.05,0.005,5e-06,1e-05,0.0001,1e-05,mlp,0.43392466447330746,0.47255485263804875,0.5118833730755804,0.29124821547794844,0.05311835577604536,0.22410715461952357,0.08588101112376802,0.29124821547794844,0.05311835577604536,0.22410715461952357,0.08588101112376802,54.91869831085205
17,2025-08-01 20:56:19,4096,1.578881110551829,8,0.05,15,16,64,0.01,0.05,0.005,0.01,1e-06,0.005,5e-06,0.005,logistic_regression,0.23355170765466662,0.47662948956440415,0.5735780042384627,0.4200264184292996,0.07182849043231751,0.31279958411425124,0.11682933941455224,0.4200264184292996,0.07182849043231751,0.31279958411425124,0.11682933941455224,87.18736577033997
18,2025-08-01 20:57:41,4096,7.591749962084396,18,100,30,128,512,0.005,0.05,0.01,0.005,0.0005,5e-06,1e-06,5e-06,logistic_regression,0.25000014125107933,0.49999978347339014,0.5060219135353015,0.27778075453014534,0.05148830616583983,0.2164956922528496,0.08319150809060216,0.27778075453014534,0.05148830616583983,0.2164956922528496,0.08319150809060216,82.0047459602356
19,2025-08-01 20:58:35,4096,1.067783581704325,14,1,20,256,32,0.005,0.01,0.05,0.005,0.0001,5e-05,0.005,1e-06,mlp,0.24999945342287944,0.499998702877158,0.5027699768843787,0.2803704453788742,0.05258681785967399,0.22000771261275043,0.08488435546259485,0.2803704453788742,0.05258681785967399,0.22000771261275043,0.08488435546259485,54.119943380355835
20,2025-08-01 20:59:13,4096,9.841118871805616,10,0.1,40,32,128,0.05,0.05,0.05,0.05,1e-05,1e-06,0.001,0.0005,logistic_regression,0.24370282028852405,0.49358633941269314,0.6320433579205501,0.4201754984667478,0.05421686746987952,0.26785265060132435,0.09018010612166881,0.4201754984667478,0.05421686746987952,0.26785265060132435,0.09018010612166881,37.6434965133667
21,2025-08-01 21:00:31,4096,1.5040777455163874,8,0.05,15,16,64,0.01,0.05,0.005,0.01,1e-06,0.005,5e-06,0.005,logistic_regression,0.23358855611064275,0.476716773680849,0.5654875004265001,0.40601396908178944,0.06984408221119774,0.3037897608321288,0.11357599117711012,0.40601396908178944,0.06984408221119774,0.3037897608321288,0.11357599117711012,78.84458136558533
22,2025-08-01 21:01:16,4096,1.9551350483212278,8,0.05,15,16,64,0.01,0.05,0.005,0.01,1e-05,0.001,0.0005,5e-05,logistic_regression,0.23864216130300153,0.4883022304018446,0.6375151196899753,0.42793919165058764,0.05754783841247343,0.2772950822695889,0.09531473775535426,0.42793919165058764,0.05754783841247343,0.2772950822695889,0.09531473775535426,44.17761564254761
23,2025-08-01 21:02:35,4096,0.09485023743100052,16,0.5,30,128,512,0.005,0.05,0.01,0.005,1e-06,0.005,5e-06,0.005,logistic_regression,0.264489733849341,0.47579495532156874,0.5237751600028714,0.33455730800007494,0.060205527994330266,0.2652677930828956,0.09813761379635227,0.33455730800007494,0.060205527994330266,0.2652677930828956,0.09813761379635227,79.11287569999695
24,2025-08-01 21:03:44,4096,3.6196588438829895,12,50,50,512,16,0.01,0.01,0.005,0.01,1e-05,1e-06,0.0005,0.0005,logistic_regression,0.2461110456014805,0.49607371163253405,0.6405673462221709,0.4144440436499185,0.052905740609496814,0.25963025936935263,0.08789983334720425,0.4144440436499185,0.052905740609496814,0.25963025936935263,0.08789983334720425,69.08857297897339
25,2025-08-01 21:04:44,4096,0.9591300517106373,20,0.05,45,64,256,0.005,0.05,0.05,0.005,1e-05,1e-06,0.0005,0.0005,mlp,0.25056464018930885,0.4983485920643823,0.5086414794631895,0.3060110709119171,0.05690999291282779,0.24268485789889666,0.09219913830732859,0.3060110709119171,0.05690999291282779,0.24268485789889666,0.09219913830732859,59.79230499267578
26,2025-08-01 21:05:39,4096,0.9319995147385847,6,100,35,16,64,0.005,0.05,0.05,0.005,5e-06,1e-05,0.005,0.0001,logistic_regression,0.2246703986304781,0.46923168253351705,0.5827692080382864,0.4149372074575735,0.06257973068745572,0.30635018706925765,0.10392928998232193,0.4149372074575735,0.06257973068745572,0.30635018706925765,0.10392928998232193,54.86851382255554
27,2025-08-01 21:06:43,4096,2.3490369806218148,4,0.05,25,128,512,0.01,0.005,0.01,0.01,0.001,0.0005,1e-06,0.001,logistic_regression,0.24999998847147945,0.4999999876808687,0.501052329245301,0.27840838551605745,0.05077958894401134,0.21381135745915764,0.08206821125915185,0.27840838551605745,0.05077958894401134,0.21381135745915764,0.08206821125915185,64.78719091415405
