trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
63,2025-08-01 21:52:27,4096,2.0757584048983277,2,50,20,64,512,0.005,0.005,0.05,0.005,1e-05,5e-06,1e-05,0.0005,logistic_regression,0.30794675253669523,0.4704461175625087,0.515254731288616,0.33940722707447024,0.0608433734939759,0.27046646424711623,0.0993395922921086,0.33940722707447024,0.0608433734939759,0.27046646424711623,0.0993395922921086,55.392971992492676
64,2025-08-01 21:53:21,4096,4.187002964126716,18,0.5,50,128,256,0.005,0.005,0.01,0.01,5e-06,0.001,0.0005,1e-05,mlp,0.24758730421702954,0.4970783509599263,0.5301264495829121,0.35033770704742306,0.0608433734939759,0.274328499191762,0.09959708851831989,0.35033770704742306,0.0608433734939759,0.274328499191762,0.09959708851831989,54.53193402290344
65,2025-08-01 21:54:30,4096,9.955555322782539,6,0.01,30,512,64,0.005,0.05,0.05,0.005,0.0005,1e-06,0.0001,0.001,logistic_regression,0.24999992564201243,0.49999971544104466,0.5007548477847656,0.2883546165682176,0.05379163713678243,0.2228042674980626,0.08666076473984453,0.2883546165682176,0.05379163713678243,0.2228042674980626,0.08666076473984453,68.5072648525238
66,2025-08-01 21:55:30,4096,7.2429238499575,20,0.05,45,128,512,0.01,0.01,0.005,0.01,1e-05,5e-05,0.0005,1e-06,logistic_regression,0.24980073799739191,0.4998002045281076,0.5996809872559927,0.40762501103413373,0.06491849751948973,0.32459537525920734,0.10819765629028016,0.40762501103413373,0.06491849751948973,0.32459537525920734,0.10819765629028016,60.36245322227478
67,2025-08-01 21:57:24,4096,0.5274920667166649,8,5,10,16,32,0.005,0.05,0.05,0.005,5e-06,1e-05,0.005,0.0005,logistic_regression,0.21877869296138053,0.4630399833517156,0.6249580190148775,0.45242063202369226,0.07593905031892276,0.3385524441405387,0.12405249050869055,0.45242063202369226,0.07593905031892276,0.3385524441405387,0.12405249050869055,113.47941875457764
68,2025-08-01 21:58:52,4096,3.616257148042001,10,0.05,25,512,128,0.005,0.05,0.05,0.01,0.0001,1e-06,1e-06,5e-05,mlp,0.24999936368660716,0.49999624286878047,0.49902087653001387,0.2815758645139762,0.05170092133238838,0.2214519444718068,0.08383049195792462,0.2815758645139762,0.05170092133238838,0.2214519444718068,0.08383049195792462,88.16003632545471
69,2025-08-01 22:01:12,4096,5.090261758181353,4,100,30,128,16,0.005,0.005,0.01,0.005,1e-05,1e-06,5e-05,0.0005,logistic_regression,0.1629655661311139,0.3847739794513068,0.6878178555877403,0.4401594850044393,0.06938341601700922,0.3031648381374234,0.11292288637325688,0.4401594850044393,0.06938341601700922,0.3031648381374234,0.11292288637325688,139.6230285167694
70,2025-08-01 22:02:20,4096,4.685253276843598,4,100,30,128,16,0.01,0.005,0.01,0.005,1e-05,0.005,5e-05,0.0005,logistic_regression,0.21560224674842865,0.4615868012876447,0.6710870725215107,0.46973711445969946,0.07639971651311128,0.33355593941624284,0.12432358887643667,0.46973711445969946,0.07639971651311128,0.33355593941624284,0.12432358887643667,68.62361979484558
71,2025-08-01 22:03:31,4096,5.201809719893306,4,100,30,128,16,0.01,0.005,0.01,0.005,1e-05,0.005,5e-05,0.0005,mlp,0.21547350140785643,0.4614294263615147,0.6685005425377953,0.46613892322329564,0.07537207654145996,0.3273525033878356,0.12253157205213666,0.46613892322329564,0.07537207654145996,0.3273525033878356,0.12253157205213666,70.96339750289917
72,2025-08-01 22:04:40,4096,4.943468277592237,4,100,30,128,16,0.01,0.005,0.01,0.005,1e-05,0.005,5e-05,0.0005,mlp,0.21546570324668587,0.4614311009305102,0.6697889985635157,0.46935137857151826,0.07657689581856839,0.32772951026948977,0.12414598525609868,0.46935137857151826,0.07657689581856839,0.32772951026948977,0.12414598525609868,68.2642822265625
73,2025-08-01 22:05:54,4096,5.126909470073766,4,100,30,128,16,0.01,0.005,0.01,0.005,1e-05,0.005,5e-05,0.0005,mlp,0.21587258529916542,0.4618719927142414,0.6678627437731178,0.46981590840420134,0.07622253720765415,0.33060410853226474,0.12388315380754934,0.46981590840420134,0.07622253720765415,0.33060410853226474,0.12388315380754934,74.43275046348572
74,2025-08-01 22:07:07,4096,4.818500984085495,4,100,30,128,16,0.01,0.005,0.01,0.005,1e-05,0.005,5e-05,0.0005,logistic_regression,0.2153977442910238,0.46135422761455563,0.6672972672751227,0.4638942751387676,0.07437987243090008,0.3217342138100498,0.1208265528092877,0.4638942751387676,0.07437987243090008,0.3217342138100498,0.1208265528092877,72.64338541030884
75,2025-08-01 22:08:18,4096,4.299334063465061,4,100,30,128,16,0.01,0.005,0.01,0.005,1e-05,0.005,5e-05,0.0005,logistic_regression,0.21570994482070321,0.46167359707737987,0.6670387004594951,0.4662963773033593,0.07466335931963147,0.32473193826028846,0.12141143141043971,0.4662963773033593,0.07466335931963147,0.32473193826028846,0.12141143141043971,70.57519602775574
76,2025-08-01 22:09:27,4096,4.963556112998311,4,100,30,128,16,0.01,0.005,0.01,0.005,1e-05,0.005,5e-05,0.0005,logistic_regression,0.21544333179575667,0.46137473954062025,0.67055154394628,0.47372944204934914,0.07625797306874557,0.3328536749005035,0.12408713710494738,0.47372944204934914,0.07625797306874557,0.3328536749005035,0.12408713710494738,69.90399241447449
77,2025-08-01 22:10:34,4096,5.136924095853447,4,100,30,128,16,0.01,0.005,0.01,0.005,1e-05,0.005,5e-05,0.0005,logistic_regression,0.21549262302033884,0.4615013144068851,0.6699477993675386,0.46994737381044094,0.07530120481927711,0.3259931792993146,0.12234250034683072,0.46994737381044094,0.07530120481927711,0.3259931792993146,0.12234250034683072,66.80056285858154
78,2025-08-01 22:11:46,4096,4.524796229212228,4,100,30,128,16,0.01,0.005,0.01,0.005,1e-05,0.005,5e-05,0.0005,logistic_regression,0.2157061233486262,0.4616570110664352,0.6673167408584717,0.46956771578761414,0.07533664068036854,0.33199829411888526,0.12280624151648672,0.46956771578761414,0.07533664068036854,0.33199829411888526,0.12280624151648672,71.60257029533386
79,2025-08-01 22:12:58,4096,3.8993286666640206,4,100,30,128,16,0.01,0.005,0.01,0.005,1e-05,0.005,5e-05,0.0005,logistic_regression,0.21542523021358168,0.4613733392184926,0.6650576526473096,0.4665539974204243,0.07526576895818568,0.3287181168616035,0.12248618177365618,0.4665539974204243,0.07526576895818568,0.3287181168616035,0.12248618177365618,71.90868306159973
80,2025-08-01 22:14:22,4096,5.854574197803987,4,100,30,128,16,0.01,0.005,0.01,0.005,1e-05,0.005,5e-05,0.0005,logistic_regression,0.2153563899033451,0.4613223992854383,0.666714404008647,0.4651319961803261,0.07282069454287739,0.3201172452828573,0.11865059478343398,0.4651319961803261,0.07282069454287739,0.3201172452828573,0.11865059478343398,83.6841094493866
81,2025-08-01 22:15:43,4096,4.8568368590057,4,100,30,128,16,0.01,0.005,0.01,0.005,1e-05,0.0005,5e-05,0.0005,logistic_regression,0.21573309730388682,0.4617309366943771,0.6685501622719632,0.4745630516311867,0.07558469170800851,0.3308966616262957,0.12305962844826043,0.4745630516311867,0.07558469170800851,0.3308966616262957,0.12305962844826043,81.713139295578
82,2025-08-01 22:17:10,4096,5.440611025766352,4,100,30,128,256,0.01,0.005,0.01,0.005,1e-06,0.0005,5e-05,0.005,mlp,0.2984883950206069,0.4567104259902496,0.5275357932034885,0.3505436047854304,0.06424521615875266,0.27162182322340084,0.10391256479661055,0.3505436047854304,0.06424521615875266,0.27162182322340084,0.10391256479661055,86.08529543876648
83,2025-08-01 22:18:04,4096,4.919024400639936,4,100,5,64,16,0.01,0.005,0.01,0.005,0.005,0.0005,5e-05,0.0001,logistic_regression,0.2500000184158013,0.5000000183621475,0.5002675288918008,0.2749963988390181,0.04893692416725727,0.19538790481587034,0.07827025293310515,0.2749963988390181,0.04893692416725727,0.19538790481587034,0.07827025293310515,53.829222679138184
84,2025-08-01 22:19:00,4096,5.199952667021605,4,100,30,128,64,0.01,0.005,0.01,0.005,1e-05,0.0005,5e-05,0.0005,logistic_regression,0.2161636545017751,0.4621311685113863,0.646393187433273,0.45405925066497405,0.06945428773919206,0.31374465796378187,0.11373158509544294,0.45405925066497405,0.06945428773919206,0.31374465796378187,0.11373158509544294,56.410101890563965
85,2025-08-01 22:19:49,4096,6.2725696016228145,4,100,35,32,32,0.005,0.01,0.01,0.005,0.001,0.001,5e-05,0.0005,logistic_regression,0.24999986357707735,0.49999974846145695,0.5005549611191777,0.2771655679772055,0.05141743444365699,0.2095548271685644,0.08257407528085695,0.2771655679772055,0.05141743444365699,0.2095548271685644,0.08257407528085695,48.95907163619995
86,2025-08-01 22:20:39,4096,5.617778881637225,12,100,20,256,16,0.01,0.005,0.01,0.005,1e-05,5e-05,5e-05,0.001,logistic_regression,0.24607803688599403,0.4960404596635286,0.6389116107796118,0.41379975704749755,0.05372076541459958,0.265174799262245,0.08934205904974742,0.41379975704749755,0.05372076541459958,0.265174799262245,0.08934205904974742,49.66213774681091
87,2025-08-01 22:21:23,4096,4.450165517500979,4,100,50,16,128,0.005,0.005,0.01,0.005,0.0005,5e-06,5e-05,0.0005,mlp,0.2500017875258043,0.5000011350256203,0.49946715060081553,0.28835652258281047,0.05279943302622254,0.22493771713732652,0.08552391298081645,0.28835652258281047,0.05279943302622254,0.22493771713732652,0.08552391298081645,44.4575629234314
88,2025-08-01 22:22:32,4096,3.6763394596351793,4,0.1,30,128,16,0.01,0.005,0.01,0.005,1e-05,1e-05,5e-05,0.005,logistic_regression,0.21543869898663884,0.4613804143946838,0.6740083523886244,0.47469109656882597,0.07636428065201985,0.33115743753271265,0.12410921122141665,0.47469109656882597,0.07636428065201985,0.33115743753271265,0.12410921122141665,68.457603931427
89,2025-08-01 22:23:50,4096,2.500878652007727,4,0.1,30,128,16,0.01,0.01,0.01,0.005,1e-05,1e-05,1e-05,0.005,logistic_regression,0.21543643273877672,0.4613969967602751,0.6641159183954073,0.4634465083027256,0.07462792345854005,0.3260070850821769,0.12145334917720674,0.4634465083027256,0.07462792345854005,0.3260070850821769,0.12145334917720674,77.83696460723877
90,2025-08-01 22:25:05,4096,1.190321731191255,14,0.1,10,128,16,0.01,0.005,0.01,0.005,1e-06,1e-05,5e-05,0.005,logistic_regression,0.23737464552498866,0.4865744301477776,0.6259492467854286,0.4536014771602024,0.0766123316796598,0.33565533049137297,0.12475068926935468,0.4536014771602024,0.0766123316796598,0.33565533049137297,0.12475068926935468,75.45412039756775
91,2025-08-01 22:26:09,4096,1.5345360801437042,4,0.1,10,128,16,0.01,0.005,0.01,0.005,1e-06,1e-05,5e-05,0.005,logistic_regression,0.20860597356141433,0.4425879013208959,0.616567184214099,0.4541120226585448,0.07547838412473423,0.3272549832913849,0.12266516427023029,0.4541120226585448,0.07547838412473423,0.3272549832913849,0.12266516427023029,63.924628019332886
92,2025-08-01 22:27:05,4096,3.42169407335075,14,0.1,30,128,16,0.01,0.005,0.005,0.005,1e-05,1e-05,5e-05,0.005,logistic_regression,0.24850702820549378,0.4985016051446973,0.640766987425676,0.4173228400892655,0.05240963855421687,0.2567864890372279,0.0870521062529624,0.4173228400892655,0.05240963855421687,0.2567864890372279,0.0870521062529624,55.993802309036255
93,2025-08-01 22:27:50,4096,1.2271813979672888,16,0.1,25,64,256,0.01,0.005,0.01,0.005,0.0001,1e-05,5e-05,0.005,mlp,0.2500001583811021,0.5000001558289953,0.49605873458222455,0.27454715166375715,0.05152374202693125,0.20928968360362976,0.08269043390554609,0.27454715166375715,0.05152374202693125,0.20928968360362976,0.08269043390554609,44.72135138511658
94,2025-08-01 22:28:59,4096,2.788343675460459,4,0.1,30,128,16,0.01,0.005,0.01,0.005,1e-05,1e-05,0.005,0.005,logistic_regression,0.21525824782340755,0.46120369584509624,0.6643262941126491,0.4645152465737299,0.07430900070871722,0.3273250691524534,0.12112119275159183,0.4645152465737299,0.07430900070871722,0.3273250691524534,0.12112119275159183,68.90931415557861
95,2025-08-01 22:29:42,4096,1.8998803332145642,6,0.1,45,32,32,0.01,0.01,0.01,0.005,0.005,1e-05,5e-05,0.005,logistic_regression,0.25000003511972485,0.5000000348785882,0.5018125725499192,0.2806924737152894,0.0504252303330971,0.20896164808353182,0.0812449673608483,0.2806924737152894,0.0504252303330971,0.20896164808353182,0.0812449673608483,43.41396379470825
96,2025-08-01 22:30:42,4096,3.8636539982669458,20,0.1,5,256,16,0.01,0.005,0.005,0.005,0.001,1e-05,1e-06,0.005,logistic_regression,0.2500000504235053,0.5000000498284815,0.5039853680625416,0.2820841422196607,0.05092133238837703,0.20918644526178842,0.08190491346741004,0.2820841422196607,0.05092133238837703,0.20918644526178842,0.08190491346741004,59.904478788375854
97,2025-08-01 22:31:32,4096,0.7117835553574494,18,0.1,30,16,64,0.01,0.005,0.01,0.005,1e-05,1e-05,0.0001,0.005,mlp,0.24804823404620432,0.49803896257005476,0.637605092771101,0.4224087557723905,0.05428773919206236,0.2639199898039075,0.09005198974427016,0.4224087557723905,0.05428773919206236,0.2639199898039075,0.09005198974427016,49.936124324798584
98,2025-08-01 22:32:25,4096,1.2514251323573178,10,0.1,35,128,128,0.01,0.005,0.01,0.005,1e-05,1e-05,5e-05,0.005,logistic_regression,0.24300575016514733,0.4928819168153775,0.6420540264305394,0.4254326470733356,0.05708717221828491,0.2712211468668332,0.09432138889184483,0.4254326470733356,0.05708717221828491,0.2712211468668332,0.09432138889184483,52.85390615463257
99,2025-08-01 22:33:27,4096,3.2078365509035205,12,10,50,128,16,0.01,0.005,0.01,0.005,0.0005,1e-05,1e-05,0.005,logistic_regression,0.25000001909812347,0.5000000179366654,0.4962423704190024,0.26724278347376507,0.04798015591778881,0.20059447638076663,0.07743794420209886,0.26724278347376507,0.04798015591778881,0.20059447638076663,0.07743794420209886,61.73610019683838
100,2025-08-01 22:34:57,4096,0.092636882365289,4,50,30,128,16,0.01,0.01,0.005,0.005,1e-05,1e-05,5e-05,1e-06,logistic_regression,0.12807157012150241,0.24961019963014702,0.6998357411103948,0.47182643598747115,0.08171509567682496,0.3829890113451334,0.1346920900088424,0.47182643598747115,0.08171509567682496,0.3829890113451334,0.1346920900088424,90.64026927947998
101,2025-08-01 22:37:01,4096,0.03705458648065825,14,50,20,64,256,0.01,0.01,0.005,0.05,1e-06,1e-05,1e-06,1e-06,mlp,0.31520276685893156,0.4520702497684644,0.5350920298210815,0.3316624371575175,0.06158752657689582,0.2701860025214323,0.10030991716679308,0.3316624371575175,0.06158752657689582,0.2701860025214323,0.10030991716679308,123.76376557350159
102,2025-08-01 22:37:59,4096,0.22109630353700774,16,50,10,32,32,0.01,0.01,0.005,0.05,0.0001,1e-05,5e-05,1e-06,mlp,0.2500002806257005,0.5000002583200455,0.49776359651180074,0.29239217059215733,0.05506732813607371,0.24068658608016788,0.08962834692316035,0.29239217059215733,0.05506732813607371,0.24068658608016788,0.08962834692316035,58.17579221725464
103,2025-08-01 22:38:52,4096,0.8163424316558302,4,50,25,256,128,0.01,0.01,0.005,0.005,0.005,1e-05,0.005,1e-06,mlp,0.2500000370843749,0.5000000368815605,0.5053987697087313,0.27979890206797925,0.05180722891566265,0.20799964018048467,0.08295304131637855,0.27979890206797925,0.05180722891566265,0.20799964018048467,0.08295304131637855,52.495903968811035
104,2025-08-01 22:39:45,4096,0.5770679488035819,6,50,30,16,16,0.05,0.01,0.005,0.005,0.001,1e-05,1e-05,1e-06,logistic_regression,0.25,0.5,0.5,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,52.60871863365173
105,2025-08-01 22:40:27,4096,0.3230029018279775,4,50,30,128,16,0.01,0.01,0.005,0.05,0.0005,1e-05,5e-05,1e-06,mlp,0.2499999070866015,0.49999990604429345,0.499594475732265,0.2933320968523444,0.05637845499645641,0.24533554946400662,0.09168708797075356,0.2933320968523444,0.05637845499645641,0.24533554946400662,0.09168708797075356,41.968350410461426
106,2025-08-01 22:41:15,4096,1.0600267145819653,20,50,5,64,64,0.01,0.01,0.005,0.005,1e-05,0.001,0.0001,1e-06,logistic_regression,0.24998234583125212,0.4999822872437948,0.5438269273521684,0.3514382579086914,0.06268603827072998,0.29585001665803945,0.1034521644988058,0.3514382579086914,0.06268603827072998,0.29585001665803945,0.1034521644988058,47.82004451751709
107,2025-08-01 22:42:00,4096,0.048028204022935866,18,50,35,128,256,0.05,0.01,0.005,0.005,1e-05,5e-05,5e-05,1e-06,logistic_regression,0.24278552939663106,0.4494346029887712,0.5593956936925097,0.33857307607563925,0.06094968107725018,0.2684801742719806,0.09934607159447897,0.33857307607563925,0.06094968107725018,0.2684801742719806,0.09934607159447897,45.06131291389465
108,2025-08-01 22:43:41,4096,0.6517001622326448,4,50,20,32,32,0.01,0.01,0.005,0.01,1e-06,1e-05,1e-06,1e-06,logistic_regression,0.18327886824687808,0.39095822964318955,0.6222425215493097,0.4562041964175106,0.07639971651311128,0.33377026160496714,0.12433846808644602,0.4562041964175106,0.07639971651311128,0.33377026160496714,0.12433846808644602,101.46603655815125
109,2025-08-01 22:44:35,4096,0.452929082511572,10,50,30,256,16,0.01,0.01,0.005,0.05,1e-05,1e-05,0.005,1e-06,mlp,0.2233097350504763,0.47150544638701436,0.6865979856944759,0.4594458293322509,0.07349397590361446,0.3149988084246126,0.11918118312574116,0.4594458293322509,0.07349397590361446,0.3149988084246126,0.11918118312574116,54.00307083129883
110,2025-08-01 22:45:15,4096,0.2897817597320703,10,50,30,256,128,0.05,0.01,0.005,0.05,1e-05,1e-05,0.005,1e-06,mlp,0.2429964759314291,0.4678090214173918,0.5530600230893559,0.3368336659185815,0.060205527994330266,0.2750196198603956,0.0987855566830601,0.3368336659185815,0.060205527994330266,0.2750196198603956,0.0987855566830601,39.517457723617554
111,2025-08-01 22:47:13,4096,0.2089043284049223,4,50,30,128,16,0.01,0.01,0.005,0.005,1e-05,1e-05,5e-05,1e-06,logistic_regression,0.1294658241277522,0.2957683738607396,0.6941478186167216,0.47438711229087765,0.08043940467753366,0.36794517535481464,0.13201743404011237,0.47438711229087765,0.08043940467753366,0.36794517535481464,0.13201743404011237,118.22457671165466
112,2025-08-01 22:48:42,4096,0.4350815747199143,4,50,30,128,16,0.01,0.01,0.005,0.005,1e-05,1e-05,5e-05,1e-06,logistic_regression,0.1593496489043473,0.3745796925331465,0.6853979022132087,0.47010703407925736,0.0758681785967399,0.33565799147678144,0.12376253223572081,0.47010703407925736,0.0758681785967399,0.33565799147678144,0.12376253223572081,88.7191731929779
113,2025-08-01 22:49:57,4096,0.5050239201866775,4,50,30,128,16,0.01,0.01,0.005,0.005,1e-05,1e-05,5e-05,1e-06,logistic_regression,0.1721891619179812,0.39680950590618125,0.6703613185753539,0.46288351367019154,0.07466335931963147,0.3308247132088176,0.12183088040100608,0.46288351367019154,0.07466335931963147,0.3308247132088176,0.12183088040100608,75.51984286308289
114,2025-08-01 22:50:57,4096,0.9220935414875886,12,50,50,128,16,0.01,0.01,0.005,0.005,1e-05,1e-05,5e-05,1e-06,logistic_regression,0.24476024518591744,0.4946919971506654,0.6411247937096392,0.4183877892740939,0.05240963855421687,0.26065555180441663,0.08727168447932618,0.4183877892740939,0.05240963855421687,0.26065555180441663,0.08727168447932618,59.5068142414093
115,2025-08-01 22:52:13,4096,0.013418881869583801,4,50,30,16,16,0.01,0.01,0.005,0.005,0.0001,5e-06,5e-05,1e-06,logistic_regression,0.09994553162007522,0.2552970294790113,0.7785287244963812,0.49616921145688125,0.08649893692416727,0.4293938460383838,0.14399159062008401,0.49616921145688125,0.08649893692416727,0.4293938460383838,0.14399159062008401,75.56756448745728
116,2025-08-01 22:53:27,4096,0.19138787922832579,16,0.5,45,16,256,0.05,0.01,0.005,0.01,0.0001,5e-06,1e-05,1e-06,logistic_regression,0.25,0.5,0.5,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,73.94374680519104
117,2025-08-01 22:54:32,4096,0.011977907718732668,4,50,25,16,64,0.01,0.01,0.005,0.05,0.0001,5e-06,0.0001,1e-06,logistic_regression,0.12995419445416823,0.3189482832979402,0.7141650168517386,0.45815838383984214,0.07306874557051736,0.3647289074987555,0.12174703796332341,0.45815838383984214,0.07306874557051736,0.3647289074987555,0.12174703796332341,65.69873642921448
118,2025-08-01 22:55:58,4096,0.03875986911381063,4,0.01,25,16,16,0.01,0.01,0.005,0.05,0.0001,5e-06,5e-05,1e-06,logistic_regression,0.10424058972300014,0.2714268523675442,0.7728417552008909,0.49409577409158917,0.08593196314670447,0.4052663038710976,0.14179744281382062,0.49409577409158917,0.08593196314670447,0.4052663038710976,0.14179744281382062,85.488290309906
119,2025-08-01 22:57:14,4096,0.02427170344211762,6,0.01,25,16,32,0.01,0.01,0.005,0.05,0.0001,5e-06,1e-06,1e-06,logistic_regression,0.11531947852984184,0.30812942156794954,0.7532268724169799,0.4619056575853454,0.07101346562721475,0.3627287707389398,0.11877389349340081,0.4619056575853454,0.07101346562721475,0.3627287707389398,0.11877389349340081,76.13876175880432
120,2025-08-01 22:58:20,4096,0.042661024410651394,6,0.01,25,16,32,0.01,0.01,0.005,0.05,0.0001,5e-06,1e-06,1e-06,logistic_regression,0.12484816098353521,0.3267826280243114,0.7418603518914686,0.4525624763865226,0.06899362154500353,0.3451139059482091,0.11499746629116249,0.4525624763865226,0.06899362154500353,0.3451139059482091,0.11499746629116249,65.91147136688232
121,2025-08-01 22:59:23,4096,0.017661899515279068,4,0.01,25,16,32,0.01,0.01,0.005,0.005,0.0001,5e-06,5e-05,1e-06,logistic_regression,0.10556768458364248,0.26916434022241553,0.7659301918349518,0.4911483372148044,0.08430191353649893,0.403212486059228,0.1394485338885968,0.4911483372148044,0.08430191353649893,0.403212486059228,0.1394485338885968,63.235382318496704
122,2025-08-01 23:00:51,4096,0.04961400221288522,6,0.01,25,16,32,0.01,0.01,0.005,0.05,0.0001,5e-06,0.001,1e-06,logistic_regression,0.12131805872504602,0.31525512090772695,0.7568849535726356,0.4921339438931523,0.08373493975903615,0.38243292924226024,0.1373882689966491,0.4921339438931523,0.08373493975903615,0.38243292924226024,0.1373882689966491,88.11512231826782
123,2025-08-01 23:01:31,4096,0.04709199327691374,6,0.01,25,16,128,0.05,0.01,0.005,0.05,0.0001,5e-06,0.001,1e-06,logistic_regression,0.14700757299311146,0.3608355989172287,0.7294646762191279,0.47190501308176586,0.07884479092841956,0.36459048604013305,0.12965166345285498,0.47190501308176586,0.07884479092841956,0.36459048604013305,0.12965166345285498,39.92453074455261
124,2025-08-01 23:02:13,4096,0.05666336560627371,6,0.01,25,16,128,0.05,0.01,0.005,0.05,0.0001,5e-06,0.001,1e-06,logistic_regression,0.15543908928864306,0.37679814705214754,0.7315543615226758,0.47051371554195487,0.07841956059532247,0.35620681153857114,0.1285406658816838,0.47051371554195487,0.07841956059532247,0.35620681153857114,0.1285406658816838,41.20218801498413
125,2025-08-01 23:03:00,4096,0.042449070419961495,6,0.01,25,16,32,0.05,0.01,0.005,0.05,0.0001,5e-06,0.001,1e-06,logistic_regression,0.13646633650424522,0.34145897130380337,0.7417292441660925,0.4789144635311831,0.08093550673281362,0.36945207563282634,0.1327824839120777,0.4789144635311831,0.08093550673281362,0.36945207563282634,0.1327824839120777,46.78621482849121
126,2025-08-01 23:03:42,4096,0.3658559728435053,6,0.01,5,16,32,0.05,0.01,0.005,0.01,0.0001,5e-06,0.001,0.0001,logistic_regression,0.25,0.5,0.5,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,42.16081786155701
127,2025-08-01 23:04:42,4096,0.20993461238814104,20,50,35,16,128,0.01,0.01,0.005,0.005,0.0001,5e-06,5e-06,1e-06,mlp,0.2500005143423204,0.5000004997246333,0.516004009329653,0.3115312342286287,0.06009922041105599,0.2569646101238621,0.097414913051549,0.3115312342286287,0.06009922041105599,0.2569646101238621,0.097414913051549,60.04814028739929
128,2025-08-01 23:05:40,4096,0.7284447918297445,18,50,20,16,512,0.05,0.01,0.005,0.05,0.0001,5e-06,1e-06,0.001,logistic_regression,0.25,0.5,0.5,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,58.01729774475098
129,2025-08-01 23:06:24,4096,0.1794877936912369,12,10,40,16,16,0.01,0.01,0.005,0.005,0.0001,5e-06,0.0005,1e-06,logistic_regression,0.24999663301859107,0.49999662484684615,0.5619602033269755,0.38333904620690407,0.06814316087880935,0.32811759787386124,0.1128497827010044,0.38333904620690407,0.06814316087880935,0.32811759787386124,0.1128497827010044,44.33515501022339
130,2025-08-01 23:07:22,4096,0.03470998131068298,4,0.01,50,16,16,0.01,0.01,0.005,0.005,0.0001,5e-06,5e-05,1e-06,mlp,0.10433929393161695,0.27097050270918427,0.7733327947415153,0.49868162427645946,0.0865343727852587,0.41639142994074946,0.14329020713502713,0.49868162427645946,0.0865343727852587,0.41639142994074946,0.14329020713502713,58.17433786392212
131,2025-08-01 23:08:06,4096,0.3859473268222781,4,0.01,50,16,16,0.01,0.01,0.005,0.005,0.0001,5e-06,5e-05,1e-06,mlp,0.2495606559579303,0.49956003345243927,0.6294349074759406,0.4215672842753552,0.05804394046775337,0.28119330507472434,0.09622509128434956,0.4215672842753552,0.05804394046775337,0.28119330507472434,0.09622509128434956,43.60808086395264
132,2025-08-01 23:08:50,4096,0.5955861254168382,4,0.01,50,16,16,0.01,0.01,0.005,0.005,0.0001,5e-06,5e-05,1e-06,mlp,0.24999765824943357,0.4999976463466199,0.5294783638662767,0.34006499331604145,0.06555634301913536,0.29854521007679313,0.10750589791281466,0.34006499331604145,0.06555634301913536,0.29854521007679313,0.10750589791281466,44.004085063934326
133,2025-08-01 23:09:52,4096,0.033057450904098694,4,0.01,50,16,16,0.01,0.01,0.005,0.005,0.0001,5e-06,5e-05,1e-06,mlp,0.10258106333077067,0.2672751987494026,0.776592845579082,0.49720686878054565,0.08671155209071581,0.41112060474643597,0.14321656503880062,0.49720686878054565,0.08671155209071581,0.41112060474643597,0.14321656503880062,61.297279596328735
134,2025-08-01 23:11:07,4096,0.013373206132975792,4,0.01,50,16,16,0.01,0.01,0.005,0.005,0.0001,5e-06,5e-05,1e-06,mlp,0.09978865186194094,0.2549233723546149,0.7813864103258281,0.5004086946243662,0.08763288447909284,0.4230226851794427,0.14518865671886882,0.5004086946243662,0.08763288447909284,0.4230226851794427,0.14518865671886882,75.05882000923157
135,2025-08-01 23:12:23,4096,0.11641113624153877,1,0.01,50,16,256,0.05,0.01,0.005,0.01,0.0001,5e-06,1e-05,0.0001,mlp,0.13138308263133341,0.31632800679382705,0.7088196386305048,0.4582063223617573,0.0760099220411056,0.3663972298379928,0.12590133209995538,0.4582063223617573,0.0760099220411056,0.3663972298379928,0.12590133209995538,75.84418606758118
136,2025-08-01 23:13:18,4096,6.97452514081289,8,0.01,50,16,512,0.01,0.01,0.005,0.05,0.0001,5e-06,0.001,1e-05,mlp,0.24999963692341073,0.49999960805898636,0.5011516174963216,0.28398643285043934,0.052657689581856834,0.21695270519320237,0.08474619988995001,0.28398643285043934,0.052657689581856834,0.21695270519320237,0.08474619988995001,55.26147985458374
