trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,ndcg_5,precision_5,recall_5,f1_5,ndcg,precision,recall,f1,training_time
10,2025-08-01 11:10:08,128,0.030129275222536406,2,0.5,15,16,16,0.01,0.01,0.01,0.005,0.001,0.001,5e-06,0.0001,mlp,0.1991868468868795,0.3553223024708006,0.6620256552233297,0.5432037375416855,0.24000000000000002,0.36799436195987917,0.2905245587662178,0.5432037375416855,0.24000000000000002,0.36799436195987917,0.2905245587662178,40.373435497283936
11,2025-08-01 11:10:37,128,0.027897511546061276,2,0.5,15,16,16,0.01,0.01,0.01,0.005,0.001,0.001,0.005,1e-06,mlp,0.1772175927438264,0.3342785095721097,0.6935117509536115,0.552593577619269,0.24068965517241384,0.35543676629883525,0.2870194966528271,0.552593577619269,0.24068965517241384,0.35543676629883525,0.2870194966528271,29.14840316772461
12,2025-08-01 11:11:01,128,0.028876821739119644,8,0.05,15,16,16,0.01,0.01,0.01,0.005,5e-06,0.001,0.005,1e-06,mlp,0.21737366445788733,0.3819432882534878,0.632698105081826,0.5387286071674559,0.23793103448275862,0.3712452202969444,0.2900006644020448,0.5387286071674559,0.23793103448275862,0.3712452202969444,0.2900006644020448,23.295647621154785
13,2025-08-01 11:11:27,128,0.028342942798036994,2,10,15,16,16,0.01,0.01,0.01,0.005,0.0005,5e-05,1e-06,0.0005,mlp,0.24719375607590552,0.38350333807843684,0.6281724498584964,0.5146889521490637,0.22758620689655173,0.34489476998097685,0.2742214873463695,0.5146889521490637,0.22758620689655173,0.34489476998097685,0.2742214873463695,26.40184998512268
14,2025-08-01 11:12:16,128,0.011019707388455736,2,0.5,15,16,16,0.005,0.01,0.01,0.005,1e-06,0.001,0.005,5e-06,mlp,0.2298104165732446,0.3158236232691275,0.6696062507690415,0.5662141276274797,0.25103448275862067,0.3826208848622642,0.30316490897781345,0.5662141276274797,0.25103448275862067,0.3826208848622642,0.30316490897781345,49.01158809661865
15,2025-08-01 11:12:49,128,0.03774508984627786,2,0.5,20,16,16,0.005,0.01,0.01,0.005,1e-06,0.001,1e-05,5e-06,mlp,0.3084382240284697,0.3937836128077677,0.5994679771133259,0.49799979124511096,0.23103448275862068,0.34922257818809543,0.2780921186471439,0.49799979124511096,0.23103448275862068,0.34922257818809543,0.2780921186471439,33.169145822525024
16,2025-08-01 11:13:18,128,0.01206969084035853,4,0.5,15,16,16,0.005,0.01,0.01,0.01,1e-06,0.001,0.005,5e-06,mlp,0.2382185308178801,0.3609278592368545,0.6505795496493171,0.5240761174779118,0.23793103448275862,0.35120235128855815,0.28367748551700644,0.5240761174779118,0.23793103448275862,0.35120235128855815,0.28367748551700644,28.027628898620605
17,2025-08-01 11:13:46,128,0.010013586063089126,10,0.1,15,32,16,0.01,0.01,0.01,0.005,1e-06,0.0005,0.005,5e-06,mlp,0.19870683323977273,0.36765878659664003,0.6603313030638612,0.5536244284316861,0.2427586206896552,0.376329188053326,0.29513472346541025,0.5536244284316861,0.2427586206896552,0.376329188053326,0.29513472346541025,27.988542795181274
18,2025-08-01 11:14:09,128,0.033295723937392815,12,100,20,64,16,0.005,0.01,0.01,0.005,0.001,0.0001,1e-06,5e-06,mlp,0.24267740987930075,0.4899617239993451,0.5869244493663098,0.5005660173504488,0.22551724137931037,0.34081622400587913,0.27142995903603534,0.5005660173504488,0.22551724137931037,0.34081622400587913,0.27142995903603534,23.13843536376953
19,2025-08-01 11:14:51,128,0.024059954778424302,8,1,15,16,16,0.005,0.01,0.005,0.01,1e-06,5e-06,0.001,0.0001,mlp,0.3144695347799787,0.3971599944031274,0.5966568229358926,0.48658656030142894,0.21931034482758624,0.32252767347594935,0.26108782660881824,0.48658656030142894,0.21931034482758624,0.32252767347594935,0.26108782660881824,42.27881622314453
20,2025-08-01 11:15:16,128,0.023840099251302607,2,10,15,16,64,0.01,0.01,0.01,0.005,0.0005,5e-05,1e-05,0.0005,mlp,0.31448178432438045,0.4483954282255801,0.5848972560600467,0.49854128349767673,0.22827586206896552,0.33269166657097693,0.2707660358658523,0.49854128349767673,0.22827586206896552,0.33269166657097693,0.2707660358658523,24.920364141464233
21,2025-08-01 11:16:01,128,0.014580785678859641,2,0.5,15,16,16,0.005,0.01,0.01,0.005,1e-06,0.001,0.005,5e-06,mlp,0.22963610827801928,0.31746834308072563,0.6690151654977237,0.5553626146078274,0.24413793103448275,0.37256909756909756,0.29498041834827815,0.5553626146078274,0.24413793103448275,0.37256909756909756,0.29498041834827815,45.006272077560425
22,2025-08-01 11:16:33,128,0.011275459184660712,2,0.5,15,16,16,0.005,0.01,0.01,0.005,5e-06,0.005,5e-06,5e-05,mlp,0.33244113809259157,0.42671742722381667,0.57729020548788,0.48482245140071817,0.2206896551724138,0.32782999567482324,0.26379615967778625,0.48482245140071817,0.2206896551724138,0.32782999567482324,0.26379615967778625,31.654395818710327
23,2025-08-01 11:16:58,128,0.018988405310281634,2,0.05,20,64,16,0.005,0.01,0.01,0.005,5e-05,0.001,0.0001,1e-06,mlp,0.3342156222915072,0.4351011398640147,0.5809754521963825,0.46576884379853917,0.21931034482758618,0.3139651631893011,0.25823727948411435,0.46576884379853917,0.21931034482758618,0.3139651631893011,0.25823727948411435,25.623726844787598
24,2025-08-01 11:17:14,128,0.014272961733051079,8,50,5,32,64,0.01,0.01,0.01,0.005,0.001,0.001,0.005,5e-06,mlp,0.2293583577803246,0.47697044219821694,0.6758656330749354,0.5512078759137454,0.2427586206896552,0.36973214524938663,0.2930841429674755,0.5512078759137454,0.2427586206896552,0.36973214524938663,0.2930841429674755,15.753894329071045
25,2025-08-01 11:17:28,128,0.01362273595382019,8,50,5,32,64,0.01,0.01,0.005,0.01,0.001,0.001,0.005,5e-06,mlp,0.2258071349252703,0.47264957362143645,0.6777776239694845,0.5394495168176512,0.24000000000000002,0.35394956575991054,0.28604413801934364,0.5394495168176512,0.24000000000000002,0.35394956575991054,0.28604413801934364,14.192335605621338
26,2025-08-01 11:17:56,128,0.039465353395207126,6,0.5,15,16,16,0.01,0.01,0.01,0.005,1e-06,0.001,0.005,5e-06,mlp,0.209669443753574,0.35514928553121566,0.6521004060538943,0.5530629109857392,0.24551724137931036,0.3826109714040749,0.29910323500460806,0.5530629109857392,0.24551724137931036,0.3826109714040749,0.29910323500460806,27.77898645401001
27,2025-08-01 11:18:21,128,0.016148423885298024,4,50,15,32,16,0.005,0.01,0.01,0.005,0.001,0.005,0.005,0.001,mlp,0.1943469447401512,0.41677565913856157,0.6641116032976498,0.528353150897666,0.23724137931034486,0.3551987571815158,0.2844771577498305,0.528353150897666,0.23724137931034486,0.3551987571815158,0.2844771577498305,24.927499532699585
28,2025-08-01 11:18:54,128,0.02173250424554653,12,5,5,16,64,0.01,0.01,0.005,0.01,1e-06,5e-05,5e-06,0.0001,mlp,0.3337831440990987,0.44802442725340164,0.5854211271071736,0.5263979545121387,0.2441379310344828,0.37203783764128595,0.2948137611561298,0.5263979545121387,0.2441379310344828,0.37203783764128595,0.2948137611561298,32.744762897491455
29,2025-08-01 11:19:17,128,0.03481897569562294,10,0.01,20,64,16,0.005,0.005,0.005,0.01,0.0005,0.0001,0.001,1e-05,logistic_regression,0.22377570607450728,0.4665429236367345,0.631910145195029,0.4952913326505996,0.23310344827586205,0.33054793865138693,0.2734025538025033,0.4952913326505996,0.23310344827586205,0.33054793865138693,0.2734025538025033,22.975923538208008
30,2025-08-01 11:19:53,128,0.02689820369422643,1,10,10,64,32,0.005,0.01,0.01,0.005,5e-06,0.0005,1e-06,0.0005,mlp,0.36416012003953546,0.4257585049921768,0.5787567675649071,0.48751118485049316,0.2213793103448276,0.32690713501058327,0.2639878359514589,0.48751118485049316,0.2213793103448276,0.32690713501058327,0.2639878359514589,36.18339729309082
31,2025-08-01 11:20:33,128,0.01188328520440712,2,0.5,15,16,16,0.005,0.005,0.01,0.005,1e-06,0.001,0.005,1e-06,logistic_regression,0.2431119250332436,0.3353971010692014,0.6488224437061647,0.533404288231817,0.23103448275862068,0.35960339468960156,0.28132562256012583,0.533404288231817,0.23103448275862068,0.35960339468960156,0.28132562256012583,39.85304141044617
32,2025-08-01 11:21:01,128,0.04934296521310216,2,0.5,15,16,32,0.005,0.01,0.01,0.005,1e-05,5e-06,0.0005,0.005,mlp,0.3862153699292262,0.4517531376449165,0.5636455641688201,0.4705309140541246,0.2220689655172414,0.3170143266694991,0.26118058043339987,0.4705309140541246,0.2220689655172414,0.3170143266694991,0.26118058043339987,27.66842007637024
33,2025-08-01 11:21:39,128,0.01729074656653582,12,1,20,16,32,0.005,0.01,0.01,0.005,5e-05,1e-06,1e-05,5e-06,logistic_regression,0.32530670588767474,0.4391197221320383,0.5732538144456749,0.47029603437897405,0.21724137931034482,0.3233894075273385,0.25989478459607906,0.47029603437897405,0.21724137931034482,0.3233894075273385,0.25989478459607906,38.51235103607178
34,2025-08-01 11:22:08,128,0.010079266331561972,2,0.1,5,16,16,0.005,0.005,0.01,0.005,0.0001,1e-05,0.0001,5e-05,logistic_regression,0.34924781671967153,0.4454721780841906,0.5683408699397071,0.4646014189485652,0.2193103448275862,0.3208309410895618,0.26053014704194827,0.4646014189485652,0.2193103448275862,0.3208309410895618,0.26053014704194827,28.9805691242218
35,2025-08-01 11:22:53,128,0.04324228565794601,1,5,15,16,32,0.01,0.01,0.005,0.01,1e-05,0.001,0.001,0.005,mlp,0.252689415496687,0.3114311395017155,0.6582531992125016,0.5724884408920576,0.24413793103448275,0.37946220446220447,0.29711705379730025,0.5724884408920576,0.24413793103448275,0.37946220446220447,0.29711705379730025,44.39036512374878
36,2025-08-01 11:23:34,128,0.043255997900781794,1,5,15,16,32,0.01,0.01,0.005,0.01,1e-05,0.001,0.005,0.005,mlp,0.25654108486745225,0.31302346115111024,0.6561817091177558,0.5428900357400018,0.23310344827586205,0.3458074301177749,0.2784846766864747,0.5428900357400018,0.23310344827586205,0.3458074301177749,0.2784846766864747,41.23808217048645
37,2025-08-01 11:23:56,128,0.02091522705245831,1,5,15,16,32,0.01,0.01,0.005,0.01,0.001,0.001,0.001,1e-06,mlp,0.24742805179773014,0.38008685251373614,0.645184262335425,0.5371914692928706,0.24482758620689654,0.37709987330676986,0.2968978144583571,0.5371914692928706,0.24482758620689654,0.37709987330676986,0.2968978144583571,21.932552814483643
