parameter,value
batch_size,256
gamma,0.13874935295975493
G,4
beta,0.01858804745458365
num_bins,20
embedding_k,16
embedding_k1,8
pred_lr,0.008008158622209275
impu_lr,0.0074428149550692475
prop_lr,0.007407033900045527
dis_lr,0.0066948777289590495
lamb_pred,0.001005811936227115
lamb_imp,0.6374489589977944
lamb_prop,0.005575839233851698
dis_lamb,7.275845381625345
abc_model_name,mlp
