trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,ndcg,precision,recall,f1,training_time
0,2025-07-27 04:58:28,64,0.061648785713594396,8,0.5300512596323975,15,16,8,0.003493193926376622,0.041637225085873905,0.0017114533563809076,0.00927717548461992,0.008452719333348615,0.00032366905727261255,0.0010069145545219525,3.419149801439026e-05,logistic_regression,0.24999963039671513,0.4999996300594046,0.5126436501621222,0.46217271386196573,0.40275862068965523,0.3036282730679283,0.34623775028642495,11.422334909439087
1,2025-07-27 04:58:34,256,0.08094481395760472,4,0.2171201116670227,10,8,8,0.0021187568857136694,0.005286603591818516,0.00745221768937761,0.002868563301217759,0.000626700521469403,4.5763774335221765e-05,7.99074889296847e-05,4.8394484062414424e-05,mlp,0.2884701383979985,0.49601791273187323,0.5110264863021485,0.46294633314866396,0.40758620689655173,0.3123134193392814,0.35364552866065585,5.2598700523376465
2,2025-07-27 04:58:48,64,0.1358625760945217,2,0.6145627137801639,15,8,16,0.02436190419726594,0.0013560809126123875,0.0016931807730658113,0.009539771154779723,3.4027956796796595e-05,0.009624453953615535,2.2496999710503053e-05,0.0008408448327933937,mlp,0.3116821641255649,0.40672114191841074,0.6500821824694412,0.5995787065757149,0.4882758620689655,0.4037059827146034,0.44198183603210256,13.992044925689697
