trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,train_mse,train_mae,train_auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
14,2025-08-03 13:54:20,4096,0.079026484147677,4,0.5,50,32,0.005,0.01,0.01,0.005,5e-05,1e-05,0.01,1e-05,logistic_regression,0.11273800623526876,0.2745375575185903,0.7325389819495267,0.059676815402245766,0.19478331160623935,0.9869500005041743,0.4911500374082557,0.08341601700921332,0.385053018722042,0.13712577228943132,0.4911500374082557,0.08341601700921332,0.385053018722042,0.13712577228943132,86.40204906463623
15,2025-08-03 13:55:22,4096,0.06213213740386672,8,0.5,50,64,0.005,0.01,0.01,0.005,5e-05,0.0005,5e-05,1e-05,logistic_regression,0.16464875615863137,0.39024822550345367,0.6756614690527476,0.1195590181580987,0.3246499724649221,0.9661742844600086,0.45190232101065836,0.06871013465627215,0.32901149970990146,0.11367963165773445,0.45190232101065836,0.06871013465627215,0.32901149970990146,0.11367963165773445,61.51177620887756
16,2025-08-03 13:56:18,4096,0.09946345623945677,12,50,50,32,0.005,0.01,0.01,0.005,0.0001,0.01,0.0001,0.01,mlp,0.2472739026567437,0.4972421476329438,0.6127451676832173,0.24541602615560812,0.4953448975942071,0.7940327675954623,0.400810377028572,0.06077250177179305,0.2915578222211325,0.10058003561379333,0.400810377028572,0.06077250177179305,0.2915578222211325,0.10058003561379333,55.70895504951477
17,2025-08-03 13:57:07,4096,0.07900872356698331,10,50,50,32,0.005,0.01,0.01,0.005,0.001,5e-05,0.0005,0.0005,logistic_regression,0.25000962386991704,0.49999794780245616,0.4939537772008846,0.2498582907816864,0.49984455962531094,0.6480138431219576,0.28861303804407795,0.05258681785967399,0.22895481752579044,0.085529128015751,0.28861303804407795,0.05258681785967399,0.22895481752579044,0.085529128015751,49.20271944999695
18,2025-08-03 13:57:57,4096,0.08762035443540853,6,10,50,64,0.005,0.01,0.01,0.005,0.0005,0.005,0.005,0.005,logistic_regression,0.24998501908293252,0.4999745267305473,0.5122618059177864,0.24926480903234152,0.4992504504015473,0.749406258847421,0.30691163408996197,0.058858965272856126,0.256770250088486,0.09576573078483046,0.30691163408996197,0.058858965272856126,0.256770250088486,0.09576573078483046,49.70568299293518
19,2025-08-03 13:59:24,4096,0.05423288749487133,2,0.05,10,32,0.005,0.01,0.01,0.005,1e-05,1e-05,0.01,5e-05,logistic_regression,0.16112841248507834,0.2474311684182944,0.6646548873114395,0.010280962651776202,0.0543342630062629,0.9995335180345285,0.43622392238374386,0.07618710134656272,0.3585525242503994,0.12567098048916364,0.43622392238374386,0.07618710134656272,0.3585525242503994,0.12567098048916364,87.78398990631104
20,2025-08-03 14:00:36,4096,0.07322960445078942,6,1,50,32,0.01,0.01,0.005,0.01,5e-05,1e-05,0.01,1e-05,mlp,0.11663311246700496,0.29744890911690025,0.7419245530025517,0.08095127607464866,0.24007370649387336,0.9708734407427727,0.48888785162468235,0.08270729978738484,0.3781584761955012,0.13572917794183695,0.48888785162468235,0.08270729978738484,0.3781584761955012,0.13572917794183695,71.85240912437439
21,2025-08-03 14:02:02,4096,0.06940381624102884,6,0.5,50,32,0.005,0.01,0.01,0.005,5e-05,1e-05,0.01,1e-05,logistic_regression,0.11500908879291509,0.29260530280375535,0.7432284684935215,0.08018174083242012,0.2364205698682275,0.9699813935434188,0.490252902592318,0.08277817150956769,0.38081411625569483,0.13599491217006573,0.490252902592318,0.08277817150956769,0.38081411625569483,0.13599491217006573,85.45947098731995
22,2025-08-03 14:03:27,4096,0.08436232012494199,2,0.5,50,32,0.005,0.01,0.01,0.005,0.0001,1e-05,0.01,1e-05,logistic_regression,0.11208902292779935,0.2743013992628824,0.7359625546709877,0.06068930658778275,0.19762571227037637,0.9866458915964371,0.4936727500113985,0.08437278525868179,0.38947753687845027,0.1386990914511429,0.4936727500113985,0.08437278525868179,0.38947753687845027,0.1386990914511429,85.19697332382202
23,2025-08-03 14:04:53,4096,0.08376377091963,2,5,50,32,0.005,0.01,0.01,0.005,0.0001,5e-05,0.0001,1e-05,logistic_regression,0.11390746545386204,0.27987781065171974,0.7365319206202199,0.06663788024259676,0.20839339539841273,0.9820850353509286,0.49029900489486056,0.08416017009213324,0.3893655471162051,0.13840460816576453,0.49029900489486056,0.08416017009213324,0.3893655471162051,0.13840460816576453,86.01424884796143
